Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
3063,474,2010,1334.65,ALL,ALL,ALL,0TO99
3044,467,2010,5534.96,ALL,ALL,ALL,0TO99
3061,474,2010,5020.75,ALL,ALL,ALL,0TO99
3065,470,2010,2357.84,ALL,ALL,ALL,0TO99
3066,473,2010,4143.22,ALL,ALL,ALL,0TO99
3068,473,2010,4002.66,ALL,ALL,ALL,0TO99
3053,469,2010,5721.20,ALL,ALL,ALL,0TO99
3057,472,2010,3921.53,ALL,ALL,ALL,0TO99
3072,475,2010,6556.68,ALL,ALL,ALL,0TO99
3057,474,2010,4272.77,ALL,ALL,ALL,0TO99
3064,475,2010,1441.41,ALL,ALL,ALL,0TO99
3053,468,2010,6680.23,ALL,ALL,ALL,0TO99
3052,470,2010,4825.35,ALL,ALL,ALL,0TO99
3056,477,2010,5890.87,ALL,ALL,ALL,0TO99
3067,474,2010,3908.78,ALL,ALL,ALL,0TO99
3063,473,2010,1445.78,ALL,ALL,ALL,0TO99
3071,476,2010,3055.40,ALL,ALL,ALL,0TO99
3061,472,2010,1360.82,ALL,ALL,ALL,0TO99
3068,472,2010,2816.46,ALL,ALL,ALL,0TO99
3065,471,2010,4850.52,ALL,ALL,ALL,0TO99
3067,472,2010,3910.14,ALL,ALL,ALL,0TO99
3064,473,2010,2537.93,ALL,ALL,ALL,0TO99
3063,471,2010,1475.69,ALL,ALL,ALL,0TO99
3052,471,2010,4675.53,ALL,ALL,ALL,0TO99
3056,468,2010,4032.61,ALL,ALL,ALL,0TO99
3055,469,2010,4753.79,ALL,ALL,ALL,0TO99
3059,473,2010,5614.62,ALL,ALL,ALL,0TO99
3057,468,2010,3130.70,ALL,ALL,ALL,0TO99
3069,474,2010,3908.78,ALL,ALL,ALL,0TO99
3060,471,2010,2455.86,ALL,ALL,ALL,0TO99
3070,473,2010,3685.03,ALL,ALL,ALL,0TO99
3057,473,2010,3551.87,ALL,ALL,ALL,0TO99
3064,472,2010,4792.88,ALL,ALL,ALL,0TO99
3061,469,2010,2084.51,ALL,ALL,ALL,0TO99
3063,472,2010,1907.84,ALL,ALL,ALL,0TO99
3051,467,2010,6206.75,ALL,ALL,ALL,0TO99
3071,475,2010,6556.68,ALL,ALL,ALL,0TO99
