Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1190,664,D24HourMean,QuarterlyMean,Mean,8.11
1190,662,D24HourMean,QuarterlyMean,Mean,8.28
1186,664,D24HourMean,QuarterlyMean,Mean,8.10
1184,661,D24HourMean,QuarterlyMean,Mean,7.78
1185,661,D24HourMean,QuarterlyMean,Mean,7.66
1189,664,D24HourMean,QuarterlyMean,Mean,6.74
1188,663,D24HourMean,QuarterlyMean,Mean,7.05
1189,661,D24HourMean,QuarterlyMean,Mean,7.55
1187,666,D24HourMean,QuarterlyMean,Mean,6.38
1190,661,D24HourMean,QuarterlyMean,Mean,8.42
1189,662,D24HourMean,QuarterlyMean,Mean,7.07
1186,662,D24HourMean,QuarterlyMean,Mean,7.64
1190,667,D24HourMean,QuarterlyMean,Mean,8.86
1190,666,D24HourMean,QuarterlyMean,Mean,7.97
1187,663,D24HourMean,QuarterlyMean,Mean,6.45
1186,661,D24HourMean,QuarterlyMean,Mean,7.45
1194,672,D24HourMean,QuarterlyMean,Mean,11.85
1187,662,D24HourMean,QuarterlyMean,Mean,6.48
1186,663,D24HourMean,QuarterlyMean,Mean,7.33
1189,667,D24HourMean,QuarterlyMean,Mean,7.22
1188,662,D24HourMean,QuarterlyMean,Mean,6.72
1188,666,D24HourMean,QuarterlyMean,Mean,6.40
1188,667,D24HourMean,QuarterlyMean,Mean,6.88
1186,665,D24HourMean,QuarterlyMean,Mean,4.34
1186,667,D24HourMean,QuarterlyMean,Mean,8.29
1187,661,D24HourMean,QuarterlyMean,Mean,6.78
1190,665,D24HourMean,QuarterlyMean,Mean,7.45
1189,666,D24HourMean,QuarterlyMean,Mean,6.55
1187,664,D24HourMean,QuarterlyMean,Mean,6.68
1187,667,D24HourMean,QuarterlyMean,Mean,7.12
1186,666,D24HourMean,QuarterlyMean,Mean,8.15
1188,661,D24HourMean,QuarterlyMean,Mean,7.02
1189,665,D24HourMean,QuarterlyMean,Mean,6.67
1190,663,D24HourMean,QuarterlyMean,Mean,7.27
1187,665,D24HourMean,QuarterlyMean,Mean,6.93
1195,672,D24HourMean,QuarterlyMean,Mean,13.12
1183,661,D24HourMean,QuarterlyMean,Mean,7.90
1188,664,D24HourMean,QuarterlyMean,Mean,7.47
1189,663,D24HourMean,QuarterlyMean,Mean,6.88
1188,665,D24HourMean,QuarterlyMean,Mean,7.16
