Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1190,664,2010,9460.47,ALL,ALL,ALL,0TO99
1190,662,2010,4952.03,ALL,ALL,ALL,0TO99
1186,664,2010,43284.50,ALL,ALL,ALL,0TO99
1184,661,2010,19983.80,ALL,ALL,ALL,0TO99
1185,661,2010,26345.84,ALL,ALL,ALL,0TO99
1189,664,2010,9805.49,ALL,ALL,ALL,0TO99
1188,663,2010,12335.77,ALL,ALL,ALL,0TO99
1189,661,2010,1708.38,ALL,ALL,ALL,0TO99
1187,666,2010,97755.99,ALL,ALL,ALL,0TO99
1190,661,2010,2518.73,ALL,ALL,ALL,0TO99
1189,662,2010,4233.02,ALL,ALL,ALL,0TO99
1186,662,2010,69150.87,ALL,ALL,ALL,0TO99
1190,667,2010,3547.11,ALL,ALL,ALL,0TO99
1190,666,2010,7301.32,ALL,ALL,ALL,0TO99
1187,663,2010,40451.59,ALL,ALL,ALL,0TO99
1186,661,2010,41863.16,ALL,ALL,ALL,0TO99
1194,672,2010,19594.77,ALL,ALL,ALL,0TO99
1187,662,2010,44605.09,ALL,ALL,ALL,0TO99
1186,663,2010,42377.38,ALL,ALL,ALL,0TO99
1189,667,2010,4423.67,ALL,ALL,ALL,0TO99
1188,662,2010,11473.27,ALL,ALL,ALL,0TO99
1188,666,2010,66462.76,ALL,ALL,ALL,0TO99
1188,667,2010,14577.25,ALL,ALL,ALL,0TO99
1186,665,2010,43048.62,ALL,ALL,ALL,0TO99
1186,667,2010,83262.69,ALL,ALL,ALL,0TO99
1187,661,2010,16277.51,ALL,ALL,ALL,0TO99
1190,665,2010,14174.14,ALL,ALL,ALL,0TO99
1189,666,2010,26506.29,ALL,ALL,ALL,0TO99
1187,664,2010,37403.60,ALL,ALL,ALL,0TO99
1187,667,2010,43895.07,ALL,ALL,ALL,0TO99
1186,666,2010,113966.69,ALL,ALL,ALL,0TO99
1188,661,2010,6336.56,ALL,ALL,ALL,0TO99
1189,665,2010,13715.80,ALL,ALL,ALL,0TO99
1190,663,2010,5036.58,ALL,ALL,ALL,0TO99
1187,665,2010,55175.95,ALL,ALL,ALL,0TO99
1195,672,2010,10518.60,ALL,ALL,ALL,0TO99
1183,661,2010,4719.35,ALL,ALL,ALL,0TO99
1188,664,2010,21066.15,ALL,ALL,ALL,0TO99
1189,663,2010,6368.79,ALL,ALL,ALL,0TO99
1188,665,2010,21169.50,ALL,ALL,ALL,0TO99
