Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1899,888,D24HourMean,QuarterlyMean,Mean,19.41
1893,928,D24HourMean,QuarterlyMean,Mean,13.41
1907,906,D24HourMean,QuarterlyMean,Mean,17.68
1900,913,D24HourMean,QuarterlyMean,Mean,16.51
1903,927,D24HourMean,QuarterlyMean,Mean,14.85
1902,929,D24HourMean,QuarterlyMean,Mean,14.55
1890,921,D24HourMean,QuarterlyMean,Mean,14.98
1878,896,D24HourMean,QuarterlyMean,Mean,31.04
1902,916,D24HourMean,QuarterlyMean,Mean,14.78
1884,918,D24HourMean,QuarterlyMean,Mean,15.39
1903,869,D24HourMean,QuarterlyMean,Mean,47.61
1905,882,D24HourMean,QuarterlyMean,Mean,36.25
1880,896,D24HourMean,QuarterlyMean,Mean,32.25
1888,901,D24HourMean,QuarterlyMean,Mean,24.03
1895,931,D24HourMean,QuarterlyMean,Mean,12.55
1903,886,D24HourMean,QuarterlyMean,Mean,33.43
1895,907,D24HourMean,QuarterlyMean,Mean,18.37
1887,893,D24HourMean,QuarterlyMean,Mean,38.92
1880,892,D24HourMean,QuarterlyMean,Mean,38.23
1885,905,D24HourMean,QuarterlyMean,Mean,22.56
1896,898,D24HourMean,QuarterlyMean,Mean,28.42
1896,886,D24HourMean,QuarterlyMean,Mean,31.72
1891,915,D24HourMean,QuarterlyMean,Mean,14.91
1893,902,D24HourMean,QuarterlyMean,Mean,25.17
1901,879,D24HourMean,QuarterlyMean,Mean,37.78
1903,885,D24HourMean,QuarterlyMean,Mean,22.10
1899,897,D24HourMean,QuarterlyMean,Mean,25.09
1895,888,D24HourMean,QuarterlyMean,Mean,30.55
1900,919,D24HourMean,QuarterlyMean,Mean,14.43
1902,878,D24HourMean,QuarterlyMean,Mean,28.76
1906,882,D24HourMean,QuarterlyMean,Mean,31.39
1901,906,D24HourMean,QuarterlyMean,Mean,19.55
1894,892,D24HourMean,QuarterlyMean,Mean,30.24
1883,904,D24HourMean,QuarterlyMean,Mean,25.44
1887,926,D24HourMean,QuarterlyMean,Mean,13.45
1896,890,D24HourMean,QuarterlyMean,Mean,27.69
1905,913,D24HourMean,QuarterlyMean,Mean,15.05
1900,892,D24HourMean,QuarterlyMean,Mean,24.98
1902,930,D24HourMean,QuarterlyMean,Mean,13.32
1892,911,D24HourMean,QuarterlyMean,Mean,16.41
1906,893,D24HourMean,QuarterlyMean,Mean,23.58
1882,896,D24HourMean,QuarterlyMean,Mean,33.35
1900,875,D24HourMean,QuarterlyMean,Mean,44.72
1906,927,D24HourMean,QuarterlyMean,Mean,12.03
1903,890,D24HourMean,QuarterlyMean,Mean,32.00
1889,928,D24HourMean,QuarterlyMean,Mean,12.82
1900,879,D24HourMean,QuarterlyMean,Mean,28.30
1899,904,D24HourMean,QuarterlyMean,Mean,20.56
1881,900,D24HourMean,QuarterlyMean,Mean,29.50
1910,882,D24HourMean,QuarterlyMean,Mean,29.81
1894,875,D24HourMean,QuarterlyMean,Mean,54.95
1889,921,D24HourMean,QuarterlyMean,Mean,15.28
1882,895,D24HourMean,QuarterlyMean,Mean,35.17
1900,882,D24HourMean,QuarterlyMean,Mean,39.38
1899,883,D24HourMean,QuarterlyMean,Mean,38.86
1894,928,D24HourMean,QuarterlyMean,Mean,13.44
1898,873,D24HourMean,QuarterlyMean,Mean,49.06
1905,889,D24HourMean,QuarterlyMean,Mean,29.38
1888,907,D24HourMean,QuarterlyMean,Mean,20.85
1914,885,D24HourMean,QuarterlyMean,Mean,28.17
1904,908,D24HourMean,QuarterlyMean,Mean,17.52
1886,915,D24HourMean,QuarterlyMean,Mean,17.29
1888,927,D24HourMean,QuarterlyMean,Mean,13.14
1904,884,D24HourMean,QuarterlyMean,Mean,32.96
1899,881,D24HourMean,QuarterlyMean,Mean,38.88
1890,924,D24HourMean,QuarterlyMean,Mean,14.05
1901,921,D24HourMean,QuarterlyMean,Mean,13.99
1904,926,D24HourMean,QuarterlyMean,Mean,13.54
1903,919,D24HourMean,QuarterlyMean,Mean,14.45
1883,902,D24HourMean,QuarterlyMean,Mean,27.83
1889,911,D24HourMean,QuarterlyMean,Mean,15.97
1901,908,D24HourMean,QuarterlyMean,Mean,19.11
1889,887,D24HourMean,QuarterlyMean,Mean,48.69
1905,879,D24HourMean,QuarterlyMean,Mean,39.27
1877,899,D24HourMean,QuarterlyMean,Mean,31.03
1885,914,D24HourMean,QuarterlyMean,Mean,16.01
1902,915,D24HourMean,QuarterlyMean,Mean,15.13
1897,866,D24HourMean,QuarterlyMean,Mean,59.56
1899,902,D24HourMean,QuarterlyMean,Mean,22.87
1905,914,D24HourMean,QuarterlyMean,Mean,15.18
1907,928,D24HourMean,QuarterlyMean,Mean,11.01
1879,901,D24HourMean,QuarterlyMean,Mean,29.81
1896,897,D24HourMean,QuarterlyMean,Mean,31.20
1898,890,D24HourMean,QuarterlyMean,Mean,28.72
