Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1899,888,2010,859.29,ALL,ALL,ALL,0TO99
1893,928,2010,9473.56,ALL,ALL,ALL,0TO99
1907,906,2010,9186.72,ALL,ALL,ALL,0TO99
1900,913,2010,9068.00,ALL,ALL,ALL,0TO99
1903,927,2010,99517.75,ALL,ALL,ALL,0TO99
1902,929,2010,57130.89,ALL,ALL,ALL,0TO99
1890,921,2010,5671.51,ALL,ALL,ALL,0TO99
1878,896,2010,2674.84,ALL,ALL,ALL,0TO99
1902,916,2010,9034.35,ALL,ALL,ALL,0TO99
1884,918,2010,5693.04,ALL,ALL,ALL,0TO99
1903,869,2010,410.56,ALL,ALL,ALL,0TO99
1905,882,2010,433.37,ALL,ALL,ALL,0TO99
1880,896,2010,1732.35,ALL,ALL,ALL,0TO99
1888,901,2010,4244.05,ALL,ALL,ALL,0TO99
1895,931,2010,16188.11,ALL,ALL,ALL,0TO99
1903,886,2010,431.45,ALL,ALL,ALL,0TO99
1895,907,2010,5810.43,ALL,ALL,ALL,0TO99
1887,893,2010,787.57,ALL,ALL,ALL,0TO99
1880,892,2010,859.15,ALL,ALL,ALL,0TO99
1885,905,2010,4807.51,ALL,ALL,ALL,0TO99
1896,898,2010,4960.36,ALL,ALL,ALL,0TO99
1896,886,2010,431.45,ALL,ALL,ALL,0TO99
1891,915,2010,5590.99,ALL,ALL,ALL,0TO99
1893,902,2010,4607.28,ALL,ALL,ALL,0TO99
1901,879,2010,434.80,ALL,ALL,ALL,0TO99
1903,885,2010,431.92,ALL,ALL,ALL,0TO99
1899,897,2010,5043.86,ALL,ALL,ALL,0TO99
1895,888,2010,861.51,ALL,ALL,ALL,0TO99
1900,919,2010,9000.47,ALL,ALL,ALL,0TO99
1902,878,2010,435.26,ALL,ALL,ALL,0TO99
1906,882,2010,433.37,ALL,ALL,ALL,0TO99
1901,906,2010,13048.33,ALL,ALL,ALL,0TO99
1894,892,2010,857.61,ALL,ALL,ALL,0TO99
1883,904,2010,4813.52,ALL,ALL,ALL,0TO99
1887,926,2010,14349.85,ALL,ALL,ALL,0TO99
1896,890,2010,859.55,ALL,ALL,ALL,0TO99
1905,913,2010,14373.95,ALL,ALL,ALL,0TO99
1900,892,2010,5691.93,ALL,ALL,ALL,0TO99
1902,930,2010,46089.07,ALL,ALL,ALL,0TO99
1892,911,2010,5618.67,ALL,ALL,ALL,0TO99
1906,893,2010,5864.72,ALL,ALL,ALL,0TO99
1882,896,2010,36.46,ALL,ALL,ALL,0TO99
