Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2140,973,D24HourMean,QuarterlyMean,Mean,10.12
2233,938,D24HourMean,QuarterlyMean,Mean,18.10
2069,978,D24HourMean,QuarterlyMean,Mean,12.74
2172,949,D24HourMean,QuarterlyMean,Mean,20.64
2224,936,D24HourMean,QuarterlyMean,Mean,20.29
2102,937,D24HourMean,QuarterlyMean,Mean,15.16
2160,956,D24HourMean,QuarterlyMean,Mean,12.97
2222,949,D24HourMean,QuarterlyMean,Mean,28.77
2236,962,D24HourMean,QuarterlyMean,Mean,19.43
2149,937,D24HourMean,QuarterlyMean,Mean,15.57
2202,966,D24HourMean,QuarterlyMean,Mean,10.93
2090,955,D24HourMean,QuarterlyMean,Mean,14.13
2163,934,D24HourMean,QuarterlyMean,Mean,18.92
2148,954,D24HourMean,QuarterlyMean,Mean,16.87
2211,947,D24HourMean,QuarterlyMean,Mean,18.79
2166,970,D24HourMean,QuarterlyMean,Mean,10.14
2219,937,D24HourMean,QuarterlyMean,Mean,20.35
2136,953,D24HourMean,QuarterlyMean,Mean,17.07
2103,960,D24HourMean,QuarterlyMean,Mean,16.02
2116,954,D24HourMean,QuarterlyMean,Mean,18.60
2163,962,D24HourMean,QuarterlyMean,Mean,13.47
2224,964,D24HourMean,QuarterlyMean,Mean,16.38
2076,955,D24HourMean,QuarterlyMean,Mean,12.12
2102,935,D24HourMean,QuarterlyMean,Mean,14.60
2173,967,D24HourMean,QuarterlyMean,Mean,9.43
2163,971,D24HourMean,QuarterlyMean,Mean,10.23
2238,934,D24HourMean,QuarterlyMean,Mean,8.81
2069,959,D24HourMean,QuarterlyMean,Mean,11.09
2172,968,D24HourMean,QuarterlyMean,Mean,9.40
2075,948,D24HourMean,QuarterlyMean,Mean,13.81
2084,971,D24HourMean,QuarterlyMean,Mean,13.76
2125,930,D24HourMean,QuarterlyMean,Mean,14.28
2146,934,D24HourMean,QuarterlyMean,Mean,15.41
2176,934,D24HourMean,QuarterlyMean,Mean,19.81
2175,927,D24HourMean,QuarterlyMean,Mean,21.14
2203,958,D24HourMean,QuarterlyMean,Mean,16.80
2064,963,D24HourMean,QuarterlyMean,Mean,14.14
2172,965,D24HourMean,QuarterlyMean,Mean,11.90
