Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2140,973,2010,2084.18,ALL,ALL,ALL,0TO99
2233,938,2010,6032.38,ALL,ALL,ALL,0TO99
2069,978,2010,5535.36,ALL,ALL,ALL,0TO99
2172,949,2010,2320.37,ALL,ALL,ALL,0TO99
2224,936,2010,5079.33,ALL,ALL,ALL,0TO99
2102,937,2010,2183.31,ALL,ALL,ALL,0TO99
2160,956,2010,5054.51,ALL,ALL,ALL,0TO99
2222,949,2010,6020.93,ALL,ALL,ALL,0TO99
2236,962,2010,3073.44,ALL,ALL,ALL,0TO99
2149,937,2010,6029.46,ALL,ALL,ALL,0TO99
2202,966,2010,20874.09,ALL,ALL,ALL,0TO99
2090,955,2010,8123.01,ALL,ALL,ALL,0TO99
2163,934,2010,10913.73,ALL,ALL,ALL,0TO99
2148,954,2010,4909.49,ALL,ALL,ALL,0TO99
2211,947,2010,2738.30,ALL,ALL,ALL,0TO99
2166,970,2010,11349.91,ALL,ALL,ALL,0TO99
2219,937,2010,5366.20,ALL,ALL,ALL,0TO99
2136,953,2010,7295.14,ALL,ALL,ALL,0TO99
2103,960,2010,3513.88,ALL,ALL,ALL,0TO99
2116,954,2010,4916.17,ALL,ALL,ALL,0TO99
2163,962,2010,8722.97,ALL,ALL,ALL,0TO99
2224,964,2010,3653.25,ALL,ALL,ALL,0TO99
2076,955,2010,7137.58,ALL,ALL,ALL,0TO99
2102,935,2010,3273.99,ALL,ALL,ALL,0TO99
2173,967,2010,13812.82,ALL,ALL,ALL,0TO99
2163,971,2010,11333.10,ALL,ALL,ALL,0TO99
2238,934,2010,4233.06,ALL,ALL,ALL,0TO99
2069,959,2010,4398.18,ALL,ALL,ALL,0TO99
2172,968,2010,13989.90,ALL,ALL,ALL,0TO99
2075,948,2010,9330.24,ALL,ALL,ALL,0TO99
2084,971,2010,237127.86,ALL,ALL,ALL,0TO99
2125,930,2010,6229.80,ALL,ALL,ALL,0TO99
2146,934,2010,5387.27,ALL,ALL,ALL,0TO99
2176,934,2010,7886.69,ALL,ALL,ALL,0TO99
2175,927,2010,19521.47,ALL,ALL,ALL,0TO99
2203,958,2010,2559.35,ALL,ALL,ALL,0TO99
2064,963,2010,3542.36,ALL,ALL,ALL,0TO99
2172,965,2010,8683.92,ALL,ALL,ALL,0TO99
2179,956,2010,2297.23,ALL,ALL,ALL,0TO99
2192,943,2010,7223.02,ALL,ALL,ALL,0TO99
2103,931,2010,11051.15,ALL,ALL,ALL,0TO99
2154,960,2010,5024.95,ALL,ALL,ALL,0TO99
2095,968,2010,33859.79,ALL,ALL,ALL,0TO99
2171,967,2010,13676.12,ALL,ALL,ALL,0TO99
2164,952,2010,2822.87,ALL,ALL,ALL,0TO99
2239,953,2010,5772.60,ALL,ALL,ALL,0TO99
2232,945,2010,126.70,ALL,ALL,ALL,0TO99
2066,972,2010,5580.24,ALL,ALL,ALL,0TO99
2213,946,2010,10096.89,ALL,ALL,ALL,0TO99
2223,943,2010,5431.05,ALL,ALL,ALL,0TO99
2188,967,2010,7011.15,ALL,ALL,ALL,0TO99
2071,980,2010,3412.61,ALL,ALL,ALL,0TO99
2089,950,2010,8513.46,ALL,ALL,ALL,0TO99
2131,943,2010,5643.76,ALL,ALL,ALL,0TO99
2214,934,2010,7027.51,ALL,ALL,ALL,0TO99
2104,938,2010,4791.17,ALL,ALL,ALL,0TO99
2147,953,2010,5055.87,ALL,ALL,ALL,0TO99
2135,946,2010,0.00,ALL,ALL,ALL,0TO99
2210,941,2010,10230.75,ALL,ALL,ALL,0TO99
2238,955,2010,5308.80,ALL,ALL,ALL,0TO99
2080,973,2010,11253.39,ALL,ALL,ALL,0TO99
2158,940,2010,8336.86,ALL,ALL,ALL,0TO99
2136,930,2010,4282.27,ALL,ALL,ALL,0TO99
2141,958,2010,7388.13,ALL,ALL,ALL,0TO99
2122,950,2010,12518.49,ALL,ALL,ALL,0TO99
2125,961,2010,16648.47,ALL,ALL,ALL,0TO99
2206,951,2010,2678.99,ALL,ALL,ALL,0TO99
2086,956,2010,7127.55,ALL,ALL,ALL,0TO99
2175,950,2010,2316.95,ALL,ALL,ALL,0TO99
2230,965,2010,2497.15,ALL,ALL,ALL,0TO99
2125,928,2010,7020.61,ALL,ALL,ALL,0TO99
2123,940,2010,6146.77,ALL,ALL,ALL,0TO99
2071,952,2010,28265.93,ALL,ALL,ALL,0TO99
2156,967,2010,5087.46,ALL,ALL,ALL,0TO99
2136,951,2010,10464.36,ALL,ALL,ALL,0TO99
2130,948,2010,6079.11,ALL,ALL,ALL,0TO99
2148,976,2010,2591.39,ALL,ALL,ALL,0TO99
2142,978,2010,2155.86,ALL,ALL,ALL,0TO99
2114,964,2010,4906.25,ALL,ALL,ALL,0TO99
2115,957,2010,4894.77,ALL,ALL,ALL,0TO99
2196,970,2010,9045.12,ALL,ALL,ALL,0TO99
2159,966,2010,5095.14,ALL,ALL,ALL,0TO99
2118,951,2010,4958.68,ALL,ALL,ALL,0TO99
2111,937,2010,6664.74,ALL,ALL,ALL,0TO99
2111,958,2010,4887.60,ALL,ALL,ALL,0TO99
2143,971,2010,2433.83,ALL,ALL,ALL,0TO99
2130,924,2010,9113.42,ALL,ALL,ALL,0TO99
2158,958,2010,5039.76,ALL,ALL,ALL,0TO99
2178,927,2010,14864.93,ALL,ALL,ALL,0TO99
2116,961,2010,16648.47,ALL,ALL,ALL,0TO99
2180,964,2010,12066.59,ALL,ALL,ALL,0TO99
2231,954,2010,5316.76,ALL,ALL,ALL,0TO99
2081,943,2010,25988.66,ALL,ALL,ALL,0TO99
2165,933,2010,12309.74,ALL,ALL,ALL,0TO99
2112,960,2010,12416.52,ALL,ALL,ALL,0TO99
2143,956,2010,3467.79,ALL,ALL,ALL,0TO99
2174,939,2010,6885.99,ALL,ALL,ALL,0TO99
2211,955,2010,3706.86,ALL,ALL,ALL,0TO99
2122,945,2010,6104.54,ALL,ALL,ALL,0TO99
2129,948,2010,6079.11,ALL,ALL,ALL,0TO99
2083,934,2010,6345.21,ALL,ALL,ALL,0TO99
2155,930,2010,12812.45,ALL,ALL,ALL,0TO99
2174,927,2010,18532.59,ALL,ALL,ALL,0TO99
2082,952,2010,7168.54,ALL,ALL,ALL,0TO99
2162,962,2010,8722.97,ALL,ALL,ALL,0TO99
2131,961,2010,16648.47,ALL,ALL,ALL,0TO99
2186,953,2010,2575.41,ALL,ALL,ALL,0TO99
2180,968,2010,13989.90,ALL,ALL,ALL,0TO99
2231,961,2010,2512.11,ALL,ALL,ALL,0TO99
2096,934,2010,5850.74,ALL,ALL,ALL,0TO99
2117,970,2010,9804.85,ALL,ALL,ALL,0TO99
2198,963,2010,2572.74,ALL,ALL,ALL,0TO99
2120,974,2010,14494.43,ALL,ALL,ALL,0TO99
2133,972,2010,2087.40,ALL,ALL,ALL,0TO99
2143,972,2010,2089.84,ALL,ALL,ALL,0TO99
2075,939,2010,24771.61,ALL,ALL,ALL,0TO99
2168,956,2010,2297.23,ALL,ALL,ALL,0TO99
2195,960,2010,2584.10,ALL,ALL,ALL,0TO99
2105,961,2010,3508.87,ALL,ALL,ALL,0TO99
2106,965,2010,16777.58,ALL,ALL,ALL,0TO99
2197,959,2010,2583.70,ALL,ALL,ALL,0TO99
2074,973,2010,5216.05,ALL,ALL,ALL,0TO99
2102,960,2010,3513.88,ALL,ALL,ALL,0TO99
2146,936,2010,5372.05,ALL,ALL,ALL,0TO99
2092,959,2010,22829.52,ALL,ALL,ALL,0TO99
2159,976,2010,9793.49,ALL,ALL,ALL,0TO99
2162,969,2010,10125.52,ALL,ALL,ALL,0TO99
2213,950,2010,3756.19,ALL,ALL,ALL,0TO99
2225,968,2010,2162.57,ALL,ALL,ALL,0TO99
2172,950,2010,2316.95,ALL,ALL,ALL,0TO99
2228,939,2010,5125.75,ALL,ALL,ALL,0TO99
2062,966,2010,4941.87,ALL,ALL,ALL,0TO99
2095,931,2010,3911.06,ALL,ALL,ALL,0TO99
2186,931,2010,9516.31,ALL,ALL,ALL,0TO99
2219,957,2010,3696.27,ALL,ALL,ALL,0TO99
2096,951,2010,5407.97,ALL,ALL,ALL,0TO99
2099,931,2010,5387.70,ALL,ALL,ALL,0TO99
2163,968,2010,5086.72,ALL,ALL,ALL,0TO99
2239,936,2010,4221.63,ALL,ALL,ALL,0TO99
2222,943,2010,5431.05,ALL,ALL,ALL,0TO99
2090,958,2010,22861.95,ALL,ALL,ALL,0TO99
2144,941,2010,5871.21,ALL,ALL,ALL,0TO99
2165,970,2010,11349.91,ALL,ALL,ALL,0TO99
2094,960,2010,22794.72,ALL,ALL,ALL,0TO99
2115,936,2010,3918.28,ALL,ALL,ALL,0TO99
2126,927,2010,5864.73,ALL,ALL,ALL,0TO99
2139,979,2010,1646.51,ALL,ALL,ALL,0TO99
2152,975,2010,2595.30,ALL,ALL,ALL,0TO99
2198,952,2010,748.30,ALL,ALL,ALL,0TO99
2205,941,2010,10230.75,ALL,ALL,ALL,0TO99
2081,939,2010,12294.38,ALL,ALL,ALL,0TO99
2224,940,2010,5095.41,ALL,ALL,ALL,0TO99
2232,970,2010,1650.50,ALL,ALL,ALL,0TO99
2236,944,2010,5983.20,ALL,ALL,ALL,0TO99
2216,937,2010,7546.01,ALL,ALL,ALL,0TO99
2237,957,2010,5268.95,ALL,ALL,ALL,0TO99
2240,949,2010,5941.52,ALL,ALL,ALL,0TO99
2117,973,2010,13295.10,ALL,ALL,ALL,0TO99
2149,931,2010,12577.94,ALL,ALL,ALL,0TO99
2187,951,2010,2649.86,ALL,ALL,ALL,0TO99
2238,936,2010,4221.63,ALL,ALL,ALL,0TO99
2167,938,2010,6895.09,ALL,ALL,ALL,0TO99
2194,949,2010,751.52,ALL,ALL,ALL,0TO99
2102,954,2010,5384.96,ALL,ALL,ALL,0TO99
2149,970,2010,3981.98,ALL,ALL,ALL,0TO99
2092,941,2010,7691.32,ALL,ALL,ALL,0TO99
2220,936,2010,4966.52,ALL,ALL,ALL,0TO99
2117,955,2010,4908.81,ALL,ALL,ALL,0TO99
2161,975,2010,11195.14,ALL,ALL,ALL,0TO99
2100,941,2010,7024.15,ALL,ALL,ALL,0TO99
2143,946,2010,5943.57,ALL,ALL,ALL,0TO99
2102,966,2010,28309.72,ALL,ALL,ALL,0TO99
2122,936,2010,6180.44,ALL,ALL,ALL,0TO99
2183,940,2010,8758.98,ALL,ALL,ALL,0TO99
2131,939,2010,6155.50,ALL,ALL,ALL,0TO99
2145,970,2010,3981.98,ALL,ALL,ALL,0TO99
2228,941,2010,5431.12,ALL,ALL,ALL,0TO99
2232,962,2010,2508.38,ALL,ALL,ALL,0TO99
2087,939,2010,12294.38,ALL,ALL,ALL,0TO99
2222,960,2010,3680.01,ALL,ALL,ALL,0TO99
2160,954,2010,3661.03,ALL,ALL,ALL,0TO99
2127,974,2010,6951.29,ALL,ALL,ALL,0TO99
2197,949,2010,751.52,ALL,ALL,ALL,0TO99
2085,934,2010,6555.56,ALL,ALL,ALL,0TO99
2104,958,2010,4820.26,ALL,ALL,ALL,0TO99
2137,973,2010,2084.18,ALL,ALL,ALL,0TO99
2184,953,2010,2389.18,ALL,ALL,ALL,0TO99
2225,972,2010,1912.94,ALL,ALL,ALL,0TO99
2243,956,2010,5094.76,ALL,ALL,ALL,0TO99
2122,960,2010,16672.29,ALL,ALL,ALL,0TO99
2194,970,2010,14631.79,ALL,ALL,ALL,0TO99
2202,950,2010,6442.75,ALL,ALL,ALL,0TO99
2071,954,2010,7163.56,ALL,ALL,ALL,0TO99
2091,937,2010,7733.25,ALL,ALL,ALL,0TO99
2100,966,2010,33962.46,ALL,ALL,ALL,0TO99
2164,923,2010,22379.24,ALL,ALL,ALL,0TO99
2148,950,2010,5457.16,ALL,ALL,ALL,0TO99
2174,954,2010,2303.91,ALL,ALL,ALL,0TO99
2132,949,2010,5958.23,ALL,ALL,ALL,0TO99
2134,969,2010,2681.87,ALL,ALL,ALL,0TO99
2219,970,2010,1918.73,ALL,ALL,ALL,0TO99
2117,971,2010,14560.96,ALL,ALL,ALL,0TO99
2157,930,2010,12812.45,ALL,ALL,ALL,0TO99
2098,932,2010,3287.21,ALL,ALL,ALL,0TO99
2218,952,2010,3773.20,ALL,ALL,ALL,0TO99
2072,954,2010,9103.06,ALL,ALL,ALL,0TO99
2088,952,2010,6033.34,ALL,ALL,ALL,0TO99
2222,968,2010,3636.53,ALL,ALL,ALL,0TO99
2149,963,2010,4024.13,ALL,ALL,ALL,0TO99
2157,974,2010,11281.35,ALL,ALL,ALL,0TO99
2176,928,2010,19495.82,ALL,ALL,ALL,0TO99
2094,930,2010,6967.65,ALL,ALL,ALL,0TO99
2241,939,2010,5748.33,ALL,ALL,ALL,0TO99
2236,939,2010,6024.42,ALL,ALL,ALL,0TO99
2096,959,2010,21433.60,ALL,ALL,ALL,0TO99
2225,945,2010,650.41,ALL,ALL,ALL,0TO99
2129,945,2010,6104.54,ALL,ALL,ALL,0TO99
2196,934,2010,9478.61,ALL,ALL,ALL,0TO99
2201,943,2010,10202.44,ALL,ALL,ALL,0TO99
2105,954,2010,4916.17,ALL,ALL,ALL,0TO99
2125,971,2010,6787.48,ALL,ALL,ALL,0TO99
2163,926,2010,19804.55,ALL,ALL,ALL,0TO99
2094,964,2010,14358.63,ALL,ALL,ALL,0TO99
2196,962,2010,2576.58,ALL,ALL,ALL,0TO99
2068,958,2010,4404.42,ALL,ALL,ALL,0TO99
2090,957,2010,22895.47,ALL,ALL,ALL,0TO99
2185,933,2010,9490.92,ALL,ALL,ALL,0TO99
2123,927,2010,11109.22,ALL,ALL,ALL,0TO99
2242,946,2010,5966.46,ALL,ALL,ALL,0TO99
2164,944,2010,10731.43,ALL,ALL,ALL,0TO99
2067,966,2010,3165.11,ALL,ALL,ALL,0TO99
2138,973,2010,2084.18,ALL,ALL,ALL,0TO99
2066,941,2010,17067.50,ALL,ALL,ALL,0TO99
2112,928,2010,7105.76,ALL,ALL,ALL,0TO99
2152,955,2010,5061.62,ALL,ALL,ALL,0TO99
2097,955,2010,5376.90,ALL,ALL,ALL,0TO99
2084,944,2010,9382.84,ALL,ALL,ALL,0TO99
2111,953,2010,4923.03,ALL,ALL,ALL,0TO99
2086,934,2010,7333.52,ALL,ALL,ALL,0TO99
2121,974,2010,14494.43,ALL,ALL,ALL,0TO99
2186,946,2010,6456.88,ALL,ALL,ALL,0TO99
2077,927,2010,5056.99,ALL,ALL,ALL,0TO99
2130,961,2010,16648.47,ALL,ALL,ALL,0TO99
2163,938,2010,12600.46,ALL,ALL,ALL,0TO99
2102,938,2010,5712.84,ALL,ALL,ALL,0TO99
2187,934,2010,9478.61,ALL,ALL,ALL,0TO99
2158,930,2010,12812.45,ALL,ALL,ALL,0TO99
2243,931,2010,7080.49,ALL,ALL,ALL,0TO99
2158,934,2010,12745.33,ALL,ALL,ALL,0TO99
2221,933,2010,5099.69,ALL,ALL,ALL,0TO99
2229,963,2010,2504.65,ALL,ALL,ALL,0TO99
2159,963,2010,8710.00,ALL,ALL,ALL,0TO99
2170,956,2010,2297.23,ALL,ALL,ALL,0TO99
2123,930,2010,6485.15,ALL,ALL,ALL,0TO99
2219,950,2010,6045.88,ALL,ALL,ALL,0TO99
2125,969,2010,2897.66,ALL,ALL,ALL,0TO99
2183,935,2010,8795.14,ALL,ALL,ALL,0TO99
2215,971,2010,2355.43,ALL,ALL,ALL,0TO99
2066,968,2010,5621.06,ALL,ALL,ALL,0TO99
2103,957,2010,4492.56,ALL,ALL,ALL,0TO99
2104,961,2010,3508.87,ALL,ALL,ALL,0TO99
2078,975,2010,4531.19,ALL,ALL,ALL,0TO99
2091,955,2010,12980.67,ALL,ALL,ALL,0TO99
2152,972,2010,10859.36,ALL,ALL,ALL,0TO99
2104,929,2010,11080.53,ALL,ALL,ALL,0TO99
2204,946,2010,2697.92,ALL,ALL,ALL,0TO99
2074,942,2010,28969.46,ALL,ALL,ALL,0TO99
2105,969,2010,24453.23,ALL,ALL,ALL,0TO99
2102,967,2010,33867.99,ALL,ALL,ALL,0TO99
2128,940,2010,6146.77,ALL,ALL,ALL,0TO99
2110,950,2010,5449.74,ALL,ALL,ALL,0TO99
2204,947,2010,4532.84,ALL,ALL,ALL,0TO99
2124,956,2010,16770.38,ALL,ALL,ALL,0TO99
2196,941,2010,10230.75,ALL,ALL,ALL,0TO99
2112,961,2010,16648.47,ALL,ALL,ALL,0TO99
2114,970,2010,4925.57,ALL,ALL,ALL,0TO99
2184,959,2010,2308.00,ALL,ALL,ALL,0TO99
2127,973,2010,6767.63,ALL,ALL,ALL,0TO99
2134,965,2010,2843.28,ALL,ALL,ALL,0TO99
2090,970,2010,220363.72,ALL,ALL,ALL,0TO99
2190,932,2010,9503.62,ALL,ALL,ALL,0TO99
2227,957,2010,5293.63,ALL,ALL,ALL,0TO99
2172,942,2010,6857.58,ALL,ALL,ALL,0TO99
2189,948,2010,3714.45,ALL,ALL,ALL,0TO99
2141,950,2010,3483.61,ALL,ALL,ALL,0TO99
2149,957,2010,5047.15,ALL,ALL,ALL,0TO99
2240,947,2010,5958.07,ALL,ALL,ALL,0TO99
2131,921,2010,12043.54,ALL,ALL,ALL,0TO99
2078,977,2010,4338.62,ALL,ALL,ALL,0TO99
2133,957,2010,16745.93,ALL,ALL,ALL,0TO99
2136,928,2010,12620.31,ALL,ALL,ALL,0TO99
