Column,Row,Metric,Seasonal Metric,Annual Metric,Values
3011,803,D24HourMean,QuarterlyMean,Mean,15.64
3008,784,D24HourMean,QuarterlyMean,Mean,15.18
3003,795,D24HourMean,QuarterlyMean,Mean,33.12
3003,786,D24HourMean,QuarterlyMean,Mean,22.26
3010,792,D24HourMean,QuarterlyMean,Mean,11.40
3011,805,D24HourMean,QuarterlyMean,Mean,15.03
3007,803,D24HourMean,QuarterlyMean,Mean,28.85
3002,790,D24HourMean,QuarterlyMean,Mean,26.67
3009,783,D24HourMean,QuarterlyMean,Mean,14.32
3016,808,D24HourMean,QuarterlyMean,Mean,19.06
3008,791,D24HourMean,QuarterlyMean,Mean,12.04
3009,789,D24HourMean,QuarterlyMean,Mean,12.08
3015,806,D24HourMean,QuarterlyMean,Mean,14.75
3005,786,D24HourMean,QuarterlyMean,Mean,25.86
3015,799,D24HourMean,QuarterlyMean,Mean,12.49
3015,793,D24HourMean,QuarterlyMean,Mean,12.09
3009,799,D24HourMean,QuarterlyMean,Mean,17.39
3011,809,D24HourMean,QuarterlyMean,Mean,27.75
3015,810,D24HourMean,QuarterlyMean,Mean,25.88
3008,799,D24HourMean,QuarterlyMean,Mean,18.78
3014,801,D24HourMean,QuarterlyMean,Mean,13.60
3012,800,D24HourMean,QuarterlyMean,Mean,13.15
3015,795,D24HourMean,QuarterlyMean,Mean,12.67
3011,792,D24HourMean,QuarterlyMean,Mean,10.84
3012,809,D24HourMean,QuarterlyMean,Mean,25.36
3012,795,D24HourMean,QuarterlyMean,Mean,11.79
3007,786,D24HourMean,QuarterlyMean,Mean,19.22
3008,789,D24HourMean,QuarterlyMean,Mean,12.70
3008,781,D24HourMean,QuarterlyMean,Mean,15.64
3012,798,D24HourMean,QuarterlyMean,Mean,12.83
3004,794,D24HourMean,QuarterlyMean,Mean,30.65
3008,796,D24HourMean,QuarterlyMean,Mean,14.96
3014,806,D24HourMean,QuarterlyMean,Mean,14.94
3008,787,D24HourMean,QuarterlyMean,Mean,14.26
3012,801,D24HourMean,QuarterlyMean,Mean,13.07
3014,803,D24HourMean,QuarterlyMean,Mean,13.80
3007,804,D24HourMean,QuarterlyMean,Mean,25.54
3005,787,D24HourMean,QuarterlyMean,Mean,24.59
3015,808,D24HourMean,QuarterlyMean,Mean,20.43
3003,791,D24HourMean,QuarterlyMean,Mean,27.58
3009,787,D24HourMean,QuarterlyMean,Mean,12.95
3011,796,D24HourMean,QuarterlyMean,Mean,11.72
3014,798,D24HourMean,QuarterlyMean,Mean,12.79
3014,795,D24HourMean,QuarterlyMean,Mean,12.82
3006,803,D24HourMean,QuarterlyMean,Mean,15.43
3009,785,D24HourMean,QuarterlyMean,Mean,14.09
3013,809,D24HourMean,QuarterlyMean,Mean,26.21
3010,799,D24HourMean,QuarterlyMean,Mean,15.31
3010,802,D24HourMean,QuarterlyMean,Mean,16.31
3012,805,D24HourMean,QuarterlyMean,Mean,14.22
3013,807,D24HourMean,QuarterlyMean,Mean,17.41
3009,796,D24HourMean,QuarterlyMean,Mean,12.56
3019,810,D24HourMean,QuarterlyMean,Mean,19.87
3006,799,D24HourMean,QuarterlyMean,Mean,31.78
3008,780,D24HourMean,QuarterlyMean,Mean,15.31
3005,785,D24HourMean,QuarterlyMean,Mean,25.67
3007,793,D24HourMean,QuarterlyMean,Mean,15.22
3006,797,D24HourMean,QuarterlyMean,Mean,29.71
3015,803,D24HourMean,QuarterlyMean,Mean,13.08
3011,798,D24HourMean,QuarterlyMean,Mean,13.05
3012,803,D24HourMean,QuarterlyMean,Mean,15.49
3014,799,D24HourMean,QuarterlyMean,Mean,13.02
3012,789,D24HourMean,QuarterlyMean,Mean,11.84
3017,809,D24HourMean,QuarterlyMean,Mean,21.00
3005,795,D24HourMean,QuarterlyMean,Mean,29.36
3016,809,D24HourMean,QuarterlyMean,Mean,22.58
