Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
3011,803,2010,88740.05,ALL,ALL,ALL,0TO99
3008,784,2010,21771.40,ALL,ALL,ALL,0TO99
3003,795,2010,36606.85,ALL,ALL,ALL,0TO99
3003,786,2010,315066.50,ALL,ALL,ALL,0TO99
3010,792,2010,6616.69,ALL,ALL,ALL,0TO99
3011,805,2010,44496.25,ALL,ALL,ALL,0TO99
3007,803,2010,93935.16,ALL,ALL,ALL,0TO99
3002,790,2010,289259.69,ALL,ALL,ALL,0TO99
3009,783,2010,17476.69,ALL,ALL,ALL,0TO99
3016,808,2010,177317.42,ALL,ALL,ALL,0TO99
3008,791,2010,53309.38,ALL,ALL,ALL,0TO99
3009,789,2010,17059.57,ALL,ALL,ALL,0TO99
3015,806,2010,24590.35,ALL,ALL,ALL,0TO99
3005,786,2010,39210.10,ALL,ALL,ALL,0TO99
3015,799,2010,7835.69,ALL,ALL,ALL,0TO99
3015,793,2010,3497.89,ALL,ALL,ALL,0TO99
3009,799,2010,15626.14,ALL,ALL,ALL,0TO99
3011,809,2010,103827.76,ALL,ALL,ALL,0TO99
3015,810,2010,460486.72,ALL,ALL,ALL,0TO99
3008,799,2010,15626.14,ALL,ALL,ALL,0TO99
3014,801,2010,7845.74,ALL,ALL,ALL,0TO99
3012,800,2010,15613.45,ALL,ALL,ALL,0TO99
3015,795,2010,7434.99,ALL,ALL,ALL,0TO99
3011,792,2010,5613.45,ALL,ALL,ALL,0TO99
3012,809,2010,208661.89,ALL,ALL,ALL,0TO99
3012,795,2010,7859.62,ALL,ALL,ALL,0TO99
3007,786,2010,31878.41,ALL,ALL,ALL,0TO99
3008,789,2010,41086.33,ALL,ALL,ALL,0TO99
3008,781,2010,30308.68,ALL,ALL,ALL,0TO99
3012,798,2010,14118.90,ALL,ALL,ALL,0TO99
3004,794,2010,67732.87,ALL,ALL,ALL,0TO99
3008,796,2010,32814.21,ALL,ALL,ALL,0TO99
3014,806,2010,94084.35,ALL,ALL,ALL,0TO99
3008,787,2010,19790.41,ALL,ALL,ALL,0TO99
3012,801,2010,15646.23,ALL,ALL,ALL,0TO99
3014,803,2010,50080.61,ALL,ALL,ALL,0TO99
3007,804,2010,48517.58,ALL,ALL,ALL,0TO99
3005,787,2010,37936.72,ALL,ALL,ALL,0TO99
3015,808,2010,264718.25,ALL,ALL,ALL,0TO99
3003,791,2010,102033.63,ALL,ALL,ALL,0TO99
3009,787,2010,6201.56,ALL,ALL,ALL,0TO99
3011,796,2010,14045.96,ALL,ALL,ALL,0TO99
3014,798,2010,7841.60,ALL,ALL,ALL,0TO99
3014,795,2010,7778.34,ALL,ALL,ALL,0TO99
3006,803,2010,36397.42,ALL,ALL,ALL,0TO99
3009,785,2010,5638.29,ALL,ALL,ALL,0TO99
3013,809,2010,234865.28,ALL,ALL,ALL,0TO99
3010,799,2010,15626.14,ALL,ALL,ALL,0TO99
3010,802,2010,88434.40,ALL,ALL,ALL,0TO99
3012,805,2010,44409.17,ALL,ALL,ALL,0TO99
3013,807,2010,105282.25,ALL,ALL,ALL,0TO99
3009,796,2010,16076.38,ALL,ALL,ALL,0TO99
3019,810,2010,219629.97,ALL,ALL,ALL,0TO99
3006,799,2010,179622.42,ALL,ALL,ALL,0TO99
3008,780,2010,30337.08,ALL,ALL,ALL,0TO99
3005,785,2010,32765.21,ALL,ALL,ALL,0TO99
3007,793,2010,47104.48,ALL,ALL,ALL,0TO99
3006,797,2010,76871.79,ALL,ALL,ALL,0TO99
3015,803,2010,8595.33,ALL,ALL,ALL,0TO99
3011,798,2010,15637.93,ALL,ALL,ALL,0TO99
3012,803,2010,92488.10,ALL,ALL,ALL,0TO99
3014,799,2010,7835.69,ALL,ALL,ALL,0TO99
3012,789,2010,5621.94,ALL,ALL,ALL,0TO99
3017,809,2010,239213.16,ALL,ALL,ALL,0TO99
3005,795,2010,34505.14,ALL,ALL,ALL,0TO99
3016,809,2010,265153.63,ALL,ALL,ALL,0TO99
2997,795,2010,21163.32,ALL,ALL,ALL,0TO99
3011,801,2010,15646.23,ALL,ALL,ALL,0TO99
3013,808,2010,191675.31,ALL,ALL,ALL,0TO99
3008,803,2010,98546.34,ALL,ALL,ALL,0TO99
3016,780,2010,13257.99,ALL,ALL,ALL,0TO99
3006,798,2010,104547.99,ALL,ALL,ALL,0TO99
3011,800,2010,15613.45,ALL,ALL,ALL,0TO99
3003,787,2010,468328.56,ALL,ALL,ALL,0TO99
