Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2137,464,D24HourMean,QuarterlyMean,Mean,7.90
2158,454,D24HourMean,QuarterlyMean,Mean,5.84
2184,446,D24HourMean,QuarterlyMean,Mean,5.03
2115,497,D24HourMean,QuarterlyMean,Mean,8.96
2125,509,D24HourMean,QuarterlyMean,Mean,7.82
2136,498,D24HourMean,QuarterlyMean,Mean,7.24
2145,484,D24HourMean,QuarterlyMean,Mean,6.48
2136,502,D24HourMean,QuarterlyMean,Mean,7.36
2124,479,D24HourMean,QuarterlyMean,Mean,9.50
2165,461,D24HourMean,QuarterlyMean,Mean,6.27
2126,487,D24HourMean,QuarterlyMean,Mean,7.50
2157,461,D24HourMean,QuarterlyMean,Mean,7.06
2151,483,D24HourMean,QuarterlyMean,Mean,7.06
2129,526,D24HourMean,QuarterlyMean,Mean,8.84
2184,518,D24HourMean,QuarterlyMean,Mean,5.25
2145,513,D24HourMean,QuarterlyMean,Mean,7.38
2179,466,D24HourMean,QuarterlyMean,Mean,5.01
2107,498,D24HourMean,QuarterlyMean,Mean,10.09
2144,483,D24HourMean,QuarterlyMean,Mean,6.69
2165,522,D24HourMean,QuarterlyMean,Mean,6.57
2172,462,D24HourMean,QuarterlyMean,Mean,6.25
2183,464,D24HourMean,QuarterlyMean,Mean,5.08
2183,506,D24HourMean,QuarterlyMean,Mean,5.57
2115,494,D24HourMean,QuarterlyMean,Mean,9.07
2128,540,D24HourMean,QuarterlyMean,Mean,4.35
2098,501,D24HourMean,QuarterlyMean,Mean,10.10
2136,494,D24HourMean,QuarterlyMean,Mean,7.06
2113,510,D24HourMean,QuarterlyMean,Mean,10.08
2113,527,D24HourMean,QuarterlyMean,Mean,10.03
2168,518,D24HourMean,QuarterlyMean,Mean,5.73
2190,467,D24HourMean,QuarterlyMean,Mean,4.36
2172,504,D24HourMean,QuarterlyMean,Mean,5.43
2132,506,D24HourMean,QuarterlyMean,Mean,7.43
2160,485,D24HourMean,QuarterlyMean,Mean,6.82
2113,501,D24HourMean,QuarterlyMean,Mean,9.24
2187,456,D24HourMean,QuarterlyMean,Mean,4.48
2195,467,D24HourMean,QuarterlyMean,Mean,4.54
2144,469,D24HourMean,QuarterlyMean,Mean,6.43
2128,510,D24HourMean,QuarterlyMean,Mean,7.59
2113,494,D24HourMean,QuarterlyMean,Mean,9.41
2163,449,D24HourMean,QuarterlyMean,Mean,6.23
2148,508,D24HourMean,QuarterlyMean,Mean,7.15
2165,449,D24HourMean,QuarterlyMean,Mean,6.07
2185,454,D24HourMean,QuarterlyMean,Mean,4.79
2138,546,D24HourMean,QuarterlyMean,Mean,4.23
2160,501,D24HourMean,QuarterlyMean,Mean,6.87
2162,491,D24HourMean,QuarterlyMean,Mean,6.75
2123,483,D24HourMean,QuarterlyMean,Mean,8.27
2144,473,D24HourMean,QuarterlyMean,Mean,7.80
2167,522,D24HourMean,QuarterlyMean,Mean,8.67
2190,470,D24HourMean,QuarterlyMean,Mean,4.52
2125,520,D24HourMean,QuarterlyMean,Mean,8.23
2167,444,D24HourMean,QuarterlyMean,Mean,5.82
2115,505,D24HourMean,QuarterlyMean,Mean,9.67
2176,489,D24HourMean,QuarterlyMean,Mean,6.30
2193,487,D24HourMean,QuarterlyMean,Mean,6.05
2113,506,D24HourMean,QuarterlyMean,Mean,9.31
2147,510,D24HourMean,QuarterlyMean,Mean,7.83
2117,486,D24HourMean,QuarterlyMean,Mean,10.20
2131,546,D24HourMean,QuarterlyMean,Mean,-2.15
