Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2137,464,2010,7115.64,ALL,ALL,ALL,0TO99
2158,454,2010,1825.36,ALL,ALL,ALL,0TO99
2184,446,2010,3470.62,ALL,ALL,ALL,0TO99
2115,497,2010,1463.52,ALL,ALL,ALL,0TO99
2125,509,2010,2601.11,ALL,ALL,ALL,0TO99
2136,498,2010,2534.00,ALL,ALL,ALL,0TO99
2145,484,2010,2919.76,ALL,ALL,ALL,0TO99
2136,502,2010,2535.84,ALL,ALL,ALL,0TO99
2124,479,2010,5369.26,ALL,ALL,ALL,0TO99
2165,461,2010,1413.88,ALL,ALL,ALL,0TO99
2126,487,2010,1068.74,ALL,ALL,ALL,0TO99
2157,461,2010,1829.30,ALL,ALL,ALL,0TO99
2151,483,2010,2919.10,ALL,ALL,ALL,0TO99
2129,526,2010,9690.17,ALL,ALL,ALL,0TO99
2184,518,2010,4724.58,ALL,ALL,ALL,0TO99
2145,513,2010,6555.04,ALL,ALL,ALL,0TO99
2179,466,2010,983.33,ALL,ALL,ALL,0TO99
2107,498,2010,1463.80,ALL,ALL,ALL,0TO99
2144,483,2010,4261.22,ALL,ALL,ALL,0TO99
2165,522,2010,1962.70,ALL,ALL,ALL,0TO99
2172,462,2010,1014.23,ALL,ALL,ALL,0TO99
2183,464,2010,982.76,ALL,ALL,ALL,0TO99
2183,506,2010,4647.44,ALL,ALL,ALL,0TO99
2115,494,2010,1462.65,ALL,ALL,ALL,0TO99
2128,540,2010,68.89,ALL,ALL,ALL,0TO99
2098,501,2010,0.00,ALL,ALL,ALL,0TO99
2136,494,2010,2051.84,ALL,ALL,ALL,0TO99
2113,510,2010,3944.92,ALL,ALL,ALL,0TO99
2113,527,2010,8475.27,ALL,ALL,ALL,0TO99
2168,518,2010,1649.24,ALL,ALL,ALL,0TO99
2190,467,2010,1800.12,ALL,ALL,ALL,0TO99
2172,504,2010,1645.81,ALL,ALL,ALL,0TO99
2132,506,2010,2537.56,ALL,ALL,ALL,0TO99
2160,485,2010,2920.45,ALL,ALL,ALL,0TO99
2113,501,2010,1464.60,ALL,ALL,ALL,0TO99
2187,456,2010,3749.98,ALL,ALL,ALL,0TO99
2195,467,2010,1800.12,ALL,ALL,ALL,0TO99
2144,469,2010,3680.98,ALL,ALL,ALL,0TO99
2128,510,2010,2539.17,ALL,ALL,ALL,0TO99
2113,494,2010,1462.65,ALL,ALL,ALL,0TO99
2163,449,2010,1822.32,ALL,ALL,ALL,0TO99
2148,508,2010,5968.81,ALL,ALL,ALL,0TO99
2165,449,2010,1822.32,ALL,ALL,ALL,0TO99
2185,454,2010,3904.93,ALL,ALL,ALL,0TO99
2138,546,2010,1023.67,ALL,ALL,ALL,0TO99
2160,501,2010,6828.02,ALL,ALL,ALL,0TO99
2162,491,2010,6792.17,ALL,ALL,ALL,0TO99
2123,483,2010,1067.77,ALL,ALL,ALL,0TO99
2144,473,2010,6386.69,ALL,ALL,ALL,0TO99
2167,522,2010,1906.47,ALL,ALL,ALL,0TO99
2190,470,2010,1801.63,ALL,ALL,ALL,0TO99
2125,520,2010,9112.85,ALL,ALL,ALL,0TO99
2167,444,2010,1819.14,ALL,ALL,ALL,0TO99
2115,505,2010,3191.31,ALL,ALL,ALL,0TO99
2176,489,2010,5786.00,ALL,ALL,ALL,0TO99
2193,487,2010,5827.14,ALL,ALL,ALL,0TO99
2113,506,2010,3550.26,ALL,ALL,ALL,0TO99
2147,510,2010,5970.66,ALL,ALL,ALL,0TO99
2117,486,2010,1460.17,ALL,ALL,ALL,0TO99
2131,546,2010,0.00,ALL,ALL,ALL,0TO99
