Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2132,575,D24HourMean,QuarterlyMean,Mean,10.59
2135,551,D24HourMean,QuarterlyMean,Mean,-2.15
2133,584,D24HourMean,QuarterlyMean,Mean,10.93
2126,577,D24HourMean,QuarterlyMean,Mean,10.84
2128,573,D24HourMean,QuarterlyMean,Mean,11.12
2125,583,D24HourMean,QuarterlyMean,Mean,11.01
2132,574,D24HourMean,QuarterlyMean,Mean,10.69
2107,557,D24HourMean,QuarterlyMean,Mean,12.08
2130,578,D24HourMean,QuarterlyMean,Mean,10.74
2102,567,D24HourMean,QuarterlyMean,Mean,12.68
2141,566,D24HourMean,QuarterlyMean,Mean,10.59
2102,554,D24HourMean,QuarterlyMean,Mean,12.16
2111,552,D24HourMean,QuarterlyMean,Mean,11.96
2132,596,D24HourMean,QuarterlyMean,Mean,10.08
2140,581,D24HourMean,QuarterlyMean,Mean,10.23
2141,586,D24HourMean,QuarterlyMean,Mean,10.08
2145,596,D24HourMean,QuarterlyMean,Mean,9.67
2113,558,D24HourMean,QuarterlyMean,Mean,12.87
2122,568,D24HourMean,QuarterlyMean,Mean,11.45
2131,583,D24HourMean,QuarterlyMean,Mean,10.40
2138,588,D24HourMean,QuarterlyMean,Mean,10.21
2131,566,D24HourMean,QuarterlyMean,Mean,11.30
2119,563,D24HourMean,QuarterlyMean,Mean,12.45
2137,588,D24HourMean,QuarterlyMean,Mean,10.59
2147,572,D24HourMean,QuarterlyMean,Mean,9.65
2135,554,D24HourMean,QuarterlyMean,Mean,-2.15
2140,564,D24HourMean,QuarterlyMean,Mean,10.16
2115,575,D24HourMean,QuarterlyMean,Mean,11.57
2131,567,D24HourMean,QuarterlyMean,Mean,11.06
2136,580,D24HourMean,QuarterlyMean,Mean,9.89
2102,548,D24HourMean,QuarterlyMean,Mean,11.76
2125,559,D24HourMean,QuarterlyMean,Mean,9.86
2130,571,D24HourMean,QuarterlyMean,Mean,10.86
2123,552,D24HourMean,QuarterlyMean,Mean,-2.15
2098,560,D24HourMean,QuarterlyMean,Mean,13.63
2126,595,D24HourMean,QuarterlyMean,Mean,11.37
2133,580,D24HourMean,QuarterlyMean,Mean,10.27
2115,564,D24HourMean,QuarterlyMean,Mean,12.38
2125,596,D24HourMean,QuarterlyMean,Mean,11.49
2101,558,D24HourMean,QuarterlyMean,Mean,13.23
2129,550,D24HourMean,QuarterlyMean,Mean,-2.15
2127,579,D24HourMean,QuarterlyMean,Mean,10.49
2128,578,D24HourMean,QuarterlyMean,Mean,10.72
2139,598,D24HourMean,QuarterlyMean,Mean,9.07
2128,567,D24HourMean,QuarterlyMean,Mean,11.37
2126,557,D24HourMean,QuarterlyMean,Mean,7.59
2139,559,D24HourMean,QuarterlyMean,Mean,6.48
2134,583,D24HourMean,QuarterlyMean,Mean,10.39
2129,556,D24HourMean,QuarterlyMean,Mean,-2.15
2126,564,D24HourMean,QuarterlyMean,Mean,12.16
2136,595,D24HourMean,QuarterlyMean,Mean,9.56
2128,589,D24HourMean,QuarterlyMean,Mean,11.08
2124,551,D24HourMean,QuarterlyMean,Mean,-2.15
2143,567,D24HourMean,QuarterlyMean,Mean,10.28
2118,579,D24HourMean,QuarterlyMean,Mean,11.98
2136,594,D24HourMean,QuarterlyMean,Mean,10.56
2140,591,D24HourMean,QuarterlyMean,Mean,9.48
2100,564,D24HourMean,QuarterlyMean,Mean,11.77
2136,574,D24HourMean,QuarterlyMean,Mean,10.21
2102,561,D24HourMean,QuarterlyMean,Mean,13.53
2111,562,D24HourMean,QuarterlyMean,Mean,12.30
2135,595,D24HourMean,QuarterlyMean,Mean,10.71
2148,576,D24HourMean,QuarterlyMean,Mean,9.93
2114,551,D24HourMean,QuarterlyMean,Mean,12.58
2116,587,D24HourMean,QuarterlyMean,Mean,13.10
2132,587,D24HourMean,QuarterlyMean,Mean,11.40
2123,576,D24HourMean,QuarterlyMean,Mean,11.47
2118,591,D24HourMean,QuarterlyMean,Mean,13.17
2120,566,D24HourMean,QuarterlyMean,Mean,11.99
2132,591,D24HourMean,QuarterlyMean,Mean,11.37
2114,553,D24HourMean,QuarterlyMean,Mean,12.73
2122,584,D24HourMean,QuarterlyMean,Mean,11.69
