Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2132,575,2010,5968.94,ALL,ALL,ALL,0TO99
2135,551,2010,0.00,ALL,ALL,ALL,0TO99
2133,584,2010,9788.74,ALL,ALL,ALL,0TO99
2126,577,2010,5539.17,ALL,ALL,ALL,0TO99
2128,573,2010,5511.08,ALL,ALL,ALL,0TO99
2125,583,2010,22783.54,ALL,ALL,ALL,0TO99
2132,574,2010,2519.60,ALL,ALL,ALL,0TO99
2107,557,2010,34513.96,ALL,ALL,ALL,0TO99
2130,578,2010,9718.47,ALL,ALL,ALL,0TO99
2102,567,2010,38875.72,ALL,ALL,ALL,0TO99
2141,566,2010,19667.66,ALL,ALL,ALL,0TO99
2102,554,2010,67132.11,ALL,ALL,ALL,0TO99
2111,552,2010,10858.49,ALL,ALL,ALL,0TO99
2132,596,2010,2628.21,ALL,ALL,ALL,0TO99
2140,581,2010,8410.68,ALL,ALL,ALL,0TO99
2141,586,2010,470.56,ALL,ALL,ALL,0TO99
2145,596,2010,738.19,ALL,ALL,ALL,0TO99
2113,558,2010,3654.60,ALL,ALL,ALL,0TO99
2122,568,2010,2820.65,ALL,ALL,ALL,0TO99
2131,583,2010,23137.42,ALL,ALL,ALL,0TO99
2138,588,2010,1969.87,ALL,ALL,ALL,0TO99
2131,566,2010,70514.84,ALL,ALL,ALL,0TO99
2119,563,2010,14511.08,ALL,ALL,ALL,0TO99
2137,588,2010,3303.81,ALL,ALL,ALL,0TO99
2147,572,2010,4640.77,ALL,ALL,ALL,0TO99
2135,554,2010,0.00,ALL,ALL,ALL,0TO99
2140,564,2010,38069.27,ALL,ALL,ALL,0TO99
2115,575,2010,26130.13,ALL,ALL,ALL,0TO99
2131,567,2010,57880.09,ALL,ALL,ALL,0TO99
2136,580,2010,14123.24,ALL,ALL,ALL,0TO99
2102,548,2010,32357.51,ALL,ALL,ALL,0TO99
2125,559,2010,45.88,ALL,ALL,ALL,0TO99
2130,571,2010,7100.70,ALL,ALL,ALL,0TO99
2123,552,2010,84.03,ALL,ALL,ALL,0TO99
2098,560,2010,131736.98,ALL,ALL,ALL,0TO99
2126,595,2010,5955.00,ALL,ALL,ALL,0TO99
2133,580,2010,26815.66,ALL,ALL,ALL,0TO99
2115,564,2010,10413.38,ALL,ALL,ALL,0TO99
2125,596,2010,1327.42,ALL,ALL,ALL,0TO99
2101,558,2010,9625.25,ALL,ALL,ALL,0TO99
2129,550,2010,0.00,ALL,ALL,ALL,0TO99
2127,579,2010,20843.61,ALL,ALL,ALL,0TO99
2128,578,2010,13413.61,ALL,ALL,ALL,0TO99
2139,598,2010,996.43,ALL,ALL,ALL,0TO99
2128,567,2010,21757.59,ALL,ALL,ALL,0TO99
2126,557,2010,1644.72,ALL,ALL,ALL,0TO99
2139,559,2010,0.00,ALL,ALL,ALL,0TO99
2134,583,2010,8812.93,ALL,ALL,ALL,0TO99
2129,556,2010,0.00,ALL,ALL,ALL,0TO99
2126,564,2010,159598.41,ALL,ALL,ALL,0TO99
2136,595,2010,1822.12,ALL,ALL,ALL,0TO99
2128,589,2010,4002.87,ALL,ALL,ALL,0TO99
2124,551,2010,0.00,ALL,ALL,ALL,0TO99
2143,567,2010,29857.39,ALL,ALL,ALL,0TO99
2118,579,2010,1715.62,ALL,ALL,ALL,0TO99
2136,594,2010,3317.73,ALL,ALL,ALL,0TO99
2140,591,2010,2635.98,ALL,ALL,ALL,0TO99
2100,564,2010,11415.13,ALL,ALL,ALL,0TO99
2136,574,2010,29810.70,ALL,ALL,ALL,0TO99
2102,561,2010,22151.88,ALL,ALL,ALL,0TO99
2111,562,2010,10623.38,ALL,ALL,ALL,0TO99
2135,595,2010,1733.74,ALL,ALL,ALL,0TO99
2148,576,2010,1141.45,ALL,ALL,ALL,0TO99
2114,551,2010,10612.51,ALL,ALL,ALL,0TO99
2116,587,2010,0.00,ALL,ALL,ALL,0TO99
2132,587,2010,13605.86,ALL,ALL,ALL,0TO99
2123,576,2010,1877.61,ALL,ALL,ALL,0TO99
2118,591,2010,3609.48,ALL,ALL,ALL,0TO99
2120,566,2010,22776.25,ALL,ALL,ALL,0TO99
2132,591,2010,6913.20,ALL,ALL,ALL,0TO99
2114,553,2010,33895.95,ALL,ALL,ALL,0TO99
2122,584,2010,528.40,ALL,ALL,ALL,0TO99
2117,574,2010,8735.31,ALL,ALL,ALL,0TO99
2103,555,2010,30197.22,ALL,ALL,ALL,0TO99
2124,566,2010,34008.98,ALL,ALL,ALL,0TO99
2109,566,2010,7740.96,ALL,ALL,ALL,0TO99
2115,558,2010,22149.60,ALL,ALL,ALL,0TO99
2134,565,2010,69113.39,ALL,ALL,ALL,0TO99
2139,590,2010,3509.30,ALL,ALL,ALL,0TO99
2125,576,2010,3543.30,ALL,ALL,ALL,0TO99
2132,594,2010,4575.29,ALL,ALL,ALL,0TO99
2103,548,2010,16034.85,ALL,ALL,ALL,0TO99
2129,567,2010,34472.84,ALL,ALL,ALL,0TO99
2107,552,2010,38536.79,ALL,ALL,ALL,0TO99
2118,582,2010,71.87,ALL,ALL,ALL,0TO99
2122,581,2010,309.19,ALL,ALL,ALL,0TO99
2117,575,2010,22337.12,ALL,ALL,ALL,0TO99
2140,589,2010,1918.44,ALL,ALL,ALL,0TO99
2140,594,2010,2534.04,ALL,ALL,ALL,0TO99
2114,592,2010,6091.79,ALL,ALL,ALL,0TO99
2134,556,2010,0.00,ALL,ALL,ALL,0TO99
2140,559,2010,0.02,ALL,ALL,ALL,0TO99
2130,593,2010,26445.15,ALL,ALL,ALL,0TO99
2100,552,2010,64889.47,ALL,ALL,ALL,0TO99
2114,577,2010,14436.31,ALL,ALL,ALL,0TO99
2140,563,2010,46446.18,ALL,ALL,ALL,0TO99
2118,561,2010,16715.64,ALL,ALL,ALL,0TO99
2118,597,2010,11717.79,ALL,ALL,ALL,0TO99
2102,558,2010,19789.37,ALL,ALL,ALL,0TO99
2115,573,2010,19479.54,ALL,ALL,ALL,0TO99
2123,562,2010,34958.92,ALL,ALL,ALL,0TO99
2108,568,2010,39703.63,ALL,ALL,ALL,0TO99
2148,578,2010,1205.46,ALL,ALL,ALL,0TO99
2133,565,2010,76203.81,ALL,ALL,ALL,0TO99
2140,569,2010,40320.73,ALL,ALL,ALL,0TO99
2112,552,2010,11171.89,ALL,ALL,ALL,0TO99
2146,577,2010,4217.19,ALL,ALL,ALL,0TO99
2127,554,2010,0.00,ALL,ALL,ALL,0TO99
2135,581,2010,14626.68,ALL,ALL,ALL,0TO99
2128,561,2010,21176.42,ALL,ALL,ALL,0TO99
2113,570,2010,6530.07,ALL,ALL,ALL,0TO99
2135,553,2010,0.00,ALL,ALL,ALL,0TO99
2130,574,2010,10019.84,ALL,ALL,ALL,0TO99
2108,567,2010,24603.51,ALL,ALL,ALL,0TO99
2107,558,2010,30515.01,ALL,ALL,ALL,0TO99
2115,572,2010,4590.52,ALL,ALL,ALL,0TO99
2106,569,2010,17603.53,ALL,ALL,ALL,0TO99
2132,550,2010,0.00,ALL,ALL,ALL,0TO99
2118,559,2010,33052.17,ALL,ALL,ALL,0TO99
2139,558,2010,518.19,ALL,ALL,ALL,0TO99
2140,577,2010,19209.67,ALL,ALL,ALL,0TO99
2117,579,2010,980.55,ALL,ALL,ALL,0TO99
2133,568,2010,59259.04,ALL,ALL,ALL,0TO99
2143,571,2010,111862.69,ALL,ALL,ALL,0TO99
2129,576,2010,19342.22,ALL,ALL,ALL,0TO99
2126,589,2010,6070.12,ALL,ALL,ALL,0TO99
2133,559,2010,263.15,ALL,ALL,ALL,0TO99
2145,574,2010,28817.99,ALL,ALL,ALL,0TO99
2137,569,2010,29403.16,ALL,ALL,ALL,0TO99
2130,566,2010,51640.71,ALL,ALL,ALL,0TO99
2142,582,2010,2509.23,ALL,ALL,ALL,0TO99
2118,589,2010,1306.13,ALL,ALL,ALL,0TO99
2127,565,2010,54450.25,ALL,ALL,ALL,0TO99
2113,562,2010,6153.52,ALL,ALL,ALL,0TO99
2138,568,2010,33041.39,ALL,ALL,ALL,0TO99
2101,554,2010,52603.02,ALL,ALL,ALL,0TO99
2107,562,2010,15083.88,ALL,ALL,ALL,0TO99
2113,550,2010,8028.09,ALL,ALL,ALL,0TO99
2134,593,2010,7389.93,ALL,ALL,ALL,0TO99
2140,583,2010,583.37,ALL,ALL,ALL,0TO99
2127,595,2010,6713.29,ALL,ALL,ALL,0TO99
2142,581,2010,2696.09,ALL,ALL,ALL,0TO99
2111,561,2010,9193.79,ALL,ALL,ALL,0TO99
2118,571,2010,2255.88,ALL,ALL,ALL,0TO99
2130,588,2010,4610.60,ALL,ALL,ALL,0TO99
2101,567,2010,53396.32,ALL,ALL,ALL,0TO99
2104,560,2010,29093.50,ALL,ALL,ALL,0TO99
