Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2119,1035,D24HourMean,QuarterlyMean,Mean,8.76
2148,1067,D24HourMean,QuarterlyMean,Mean,10.03
2104,1036,D24HourMean,QuarterlyMean,Mean,9.68
2025,1044,D24HourMean,QuarterlyMean,Mean,13.05
2135,1063,D24HourMean,QuarterlyMean,Mean,8.65
2102,1073,D24HourMean,QuarterlyMean,Mean,9.49
2147,1045,D24HourMean,QuarterlyMean,Mean,11.40
2134,1067,D24HourMean,QuarterlyMean,Mean,9.16
2056,1076,D24HourMean,QuarterlyMean,Mean,8.56
2127,1064,D24HourMean,QuarterlyMean,Mean,8.92
2132,1024,D24HourMean,QuarterlyMean,Mean,8.21
2188,1048,D24HourMean,QuarterlyMean,Mean,11.08
2141,1032,D24HourMean,QuarterlyMean,Mean,9.67
2181,1047,D24HourMean,QuarterlyMean,Mean,10.56
2175,1060,D24HourMean,QuarterlyMean,Mean,9.90
2051,1055,D24HourMean,QuarterlyMean,Mean,8.71
2141,1016,D24HourMean,QuarterlyMean,Mean,7.99
2143,1019,D24HourMean,QuarterlyMean,Mean,9.82
2056,1056,D24HourMean,QuarterlyMean,Mean,8.86
2110,1035,D24HourMean,QuarterlyMean,Mean,9.13
2164,1043,D24HourMean,QuarterlyMean,Mean,9.87
2034,1045,D24HourMean,QuarterlyMean,Mean,10.58
2171,1029,D24HourMean,QuarterlyMean,Mean,8.90
2164,1012,D24HourMean,QuarterlyMean,Mean,12.69
2190,1055,D24HourMean,QuarterlyMean,Mean,9.11
2042,1054,D24HourMean,QuarterlyMean,Mean,10.09
2148,1061,D24HourMean,QuarterlyMean,Mean,9.77
2119,1077,D24HourMean,QuarterlyMean,Mean,8.80
2166,1028,D24HourMean,QuarterlyMean,Mean,9.66
2202,1052,D24HourMean,QuarterlyMean,Mean,9.24
2114,1079,D24HourMean,QuarterlyMean,Mean,8.94
2064,1068,D24HourMean,QuarterlyMean,Mean,9.36
2152,1012,D24HourMean,QuarterlyMean,Mean,8.54
2086,1060,D24HourMean,QuarterlyMean,Mean,9.04
2103,1049,D24HourMean,QuarterlyMean,Mean,9.08
2106,1026,D24HourMean,QuarterlyMean,Mean,10.27
2072,1077,D24HourMean,QuarterlyMean,Mean,9.00
2105,1022,D24HourMean,QuarterlyMean,Mean,10.94
2065,1073,D24HourMean,QuarterlyMean,Mean,8.93
2065,1076,D24HourMean,QuarterlyMean,Mean,9.35
2070,1050,D24HourMean,QuarterlyMean,Mean,10.07
2141,1056,D24HourMean,QuarterlyMean,Mean,8.82
2149,1036,D24HourMean,QuarterlyMean,Mean,10.45
2078,1056,D24HourMean,QuarterlyMean,Mean,9.26
2054,1042,D24HourMean,QuarterlyMean,Mean,10.58
2068,1056,D24HourMean,QuarterlyMean,Mean,9.56
2148,1039,D24HourMean,QuarterlyMean,Mean,9.50
2134,1028,D24HourMean,QuarterlyMean,Mean,9.09
2146,1020,D24HourMean,QuarterlyMean,Mean,10.93
2125,1043,D24HourMean,QuarterlyMean,Mean,9.10
2047,1061,D24HourMean,QuarterlyMean,Mean,9.60
2057,1058,D24HourMean,QuarterlyMean,Mean,8.93
2179,1038,D24HourMean,QuarterlyMean,Mean,11.78
2143,1005,D24HourMean,QuarterlyMean,Mean,10.84
2175,1052,D24HourMean,QuarterlyMean,Mean,10.72
2160,1056,D24HourMean,QuarterlyMean,Mean,10.24
2151,1061,D24HourMean,QuarterlyMean,Mean,9.30
2186,1042,D24HourMean,QuarterlyMean,Mean,10.07
2129,1043,D24HourMean,QuarterlyMean,Mean,9.21
2138,1071,D24HourMean,QuarterlyMean,Mean,8.40
2050,1060,D24HourMean,QuarterlyMean,Mean,9.24
2062,1074,D24HourMean,QuarterlyMean,Mean,8.67
2137,1017,D24HourMean,QuarterlyMean,Mean,8.75
2145,1033,D24HourMean,QuarterlyMean,Mean,10.13
2151,1041,D24HourMean,QuarterlyMean,Mean,10.10
2148,1056,D24HourMean,QuarterlyMean,Mean,9.19
2077,1070,D24HourMean,QuarterlyMean,Mean,8.78
2149,1043,D24HourMean,QuarterlyMean,Mean,10.66
2041,1064,D24HourMean,QuarterlyMean,Mean,9.82
2057,1051,D24HourMean,QuarterlyMean,Mean,8.36
2128,1041,D24HourMean,QuarterlyMean,Mean,9.43
2149,1033,D24HourMean,QuarterlyMean,Mean,9.61
2108,1044,D24HourMean,QuarterlyMean,Mean,9.37
2038,1060,D24HourMean,QuarterlyMean,Mean,10.00
2054,1041,D24HourMean,QuarterlyMean,Mean,10.49
2150,1044,D24HourMean,QuarterlyMean,Mean,13.04
2035,1047,D24HourMean,QuarterlyMean,Mean,10.65
2055,1072,D24HourMean,QuarterlyMean,Mean,9.22
2135,1049,D24HourMean,QuarterlyMean,Mean,9.79
2158,1062,D24HourMean,QuarterlyMean,Mean,9.43
2023,1044,D24HourMean,QuarterlyMean,Mean,13.38
2053,1041,D24HourMean,QuarterlyMean,Mean,11.11
2096,1070,D24HourMean,QuarterlyMean,Mean,8.38
2109,1074,D24HourMean,QuarterlyMean,Mean,8.78
2151,1028,D24HourMean,QuarterlyMean,Mean,10.06
2039,1061,D24HourMean,QuarterlyMean,Mean,10.61
2137,1025,D24HourMean,QuarterlyMean,Mean,8.65
2170,1029,D24HourMean,QuarterlyMean,Mean,8.77
2102,1044,D24HourMean,QuarterlyMean,Mean,9.59
2148,1023,D24HourMean,QuarterlyMean,Mean,9.77
2052,1046,D24HourMean,QuarterlyMean,Mean,10.49
2069,1073,D24HourMean,QuarterlyMean,Mean,9.18
2076,1067,D24HourMean,QuarterlyMean,Mean,9.20
2112,1046,D24HourMean,QuarterlyMean,Mean,8.98
2119,1065,D24HourMean,QuarterlyMean,Mean,9.19
2156,1063,D24HourMean,QuarterlyMean,Mean,9.38
2135,1053,D24HourMean,QuarterlyMean,Mean,8.77
2078,1069,D24HourMean,QuarterlyMean,Mean,8.97
2111,1031,D24HourMean,QuarterlyMean,Mean,9.06
2113,1055,D24HourMean,QuarterlyMean,Mean,8.99
2129,1071,D24HourMean,QuarterlyMean,Mean,8.35
2140,1047,D24HourMean,QuarterlyMean,Mean,9.45
2125,1078,D24HourMean,QuarterlyMean,Mean,9.05
2181,1054,D24HourMean,QuarterlyMean,Mean,9.76
2125,1057,D24HourMean,QuarterlyMean,Mean,9.06
2101,1064,D24HourMean,QuarterlyMean,Mean,9.61
2037,1060,D24HourMean,QuarterlyMean,Mean,10.27
2115,1075,D24HourMean,QuarterlyMean,Mean,9.20
2087,1015,D24HourMean,QuarterlyMean,Mean,11.50
2053,1054,D24HourMean,QuarterlyMean,Mean,8.57
2044,1077,D24HourMean,QuarterlyMean,Mean,9.71
2144,1054,D24HourMean,QuarterlyMean,Mean,9.43
2165,1058,D24HourMean,QuarterlyMean,Mean,10.27
2177,1034,D24HourMean,QuarterlyMean,Mean,10.62
2052,1075,D24HourMean,QuarterlyMean,Mean,9.20
2064,1048,D24HourMean,QuarterlyMean,Mean,9.92
2092,1067,D24HourMean,QuarterlyMean,Mean,9.41
2162,1049,D24HourMean,QuarterlyMean,Mean,9.73
2126,1045,D24HourMean,QuarterlyMean,Mean,9.28
2190,1043,D24HourMean,QuarterlyMean,Mean,9.88
2062,1066,D24HourMean,QuarterlyMean,Mean,9.56
2054,1067,D24HourMean,QuarterlyMean,Mean,10.09
2072,1061,D24HourMean,QuarterlyMean,Mean,9.22
2079,1064,D24HourMean,QuarterlyMean,Mean,9.20
