Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2119,1035,2010,1880.84,ALL,ALL,ALL,0TO99
2148,1067,2010,2547.70,ALL,ALL,ALL,0TO99
2104,1036,2010,2398.48,ALL,ALL,ALL,0TO99
2025,1044,2010,8253.54,ALL,ALL,ALL,0TO99
2135,1063,2010,2878.06,ALL,ALL,ALL,0TO99
2102,1073,2010,656.57,ALL,ALL,ALL,0TO99
2147,1045,2010,44707.34,ALL,ALL,ALL,0TO99
2134,1067,2010,1983.28,ALL,ALL,ALL,0TO99
2056,1076,2010,1956.01,ALL,ALL,ALL,0TO99
2127,1064,2010,2585.12,ALL,ALL,ALL,0TO99
2132,1024,2010,3489.61,ALL,ALL,ALL,0TO99
2188,1048,2010,1492.04,ALL,ALL,ALL,0TO99
2141,1032,2010,1738.87,ALL,ALL,ALL,0TO99
2181,1047,2010,11095.45,ALL,ALL,ALL,0TO99
2175,1060,2010,1702.44,ALL,ALL,ALL,0TO99
2051,1055,2010,4485.30,ALL,ALL,ALL,0TO99
2141,1016,2010,3560.58,ALL,ALL,ALL,0TO99
2143,1019,2010,3156.76,ALL,ALL,ALL,0TO99
2056,1056,2010,9634.66,ALL,ALL,ALL,0TO99
2110,1035,2010,1545.72,ALL,ALL,ALL,0TO99
2164,1043,2010,4329.35,ALL,ALL,ALL,0TO99
2034,1045,2010,5619.77,ALL,ALL,ALL,0TO99
2171,1029,2010,1756.57,ALL,ALL,ALL,0TO99
2164,1012,2010,20522.87,ALL,ALL,ALL,0TO99
2190,1055,2010,1727.23,ALL,ALL,ALL,0TO99
2042,1054,2010,9735.04,ALL,ALL,ALL,0TO99
2148,1061,2010,1870.34,ALL,ALL,ALL,0TO99
2119,1077,2010,1613.85,ALL,ALL,ALL,0TO99
2166,1028,2010,1586.91,ALL,ALL,ALL,0TO99
2202,1052,2010,1433.47,ALL,ALL,ALL,0TO99
2114,1079,2010,1461.83,ALL,ALL,ALL,0TO99
2064,1068,2010,3821.65,ALL,ALL,ALL,0TO99
2152,1012,2010,5328.18,ALL,ALL,ALL,0TO99
2086,1060,2010,3320.15,ALL,ALL,ALL,0TO99
2103,1049,2010,3221.32,ALL,ALL,ALL,0TO99
2106,1026,2010,4251.72,ALL,ALL,ALL,0TO99
2072,1077,2010,1948.53,ALL,ALL,ALL,0TO99
2105,1022,2010,7040.33,ALL,ALL,ALL,0TO99
2065,1073,2010,3876.31,ALL,ALL,ALL,0TO99
2065,1076,2010,1992.31,ALL,ALL,ALL,0TO99
2070,1050,2010,3565.31,ALL,ALL,ALL,0TO99
2141,1056,2010,2291.28,ALL,ALL,ALL,0TO99
2149,1036,2010,2689.17,ALL,ALL,ALL,0TO99
2078,1056,2010,2514.40,ALL,ALL,ALL,0TO99
2054,1042,2010,4259.62,ALL,ALL,ALL,0TO99
2068,1056,2010,3879.30,ALL,ALL,ALL,0TO99
2148,1039,2010,2503.75,ALL,ALL,ALL,0TO99
2134,1028,2010,2660.86,ALL,ALL,ALL,0TO99
2146,1020,2010,2678.43,ALL,ALL,ALL,0TO99
2125,1043,2010,1550.97,ALL,ALL,ALL,0TO99
2047,1061,2010,4491.16,ALL,ALL,ALL,0TO99
2057,1058,2010,5905.32,ALL,ALL,ALL,0TO99
2179,1038,2010,31528.75,ALL,ALL,ALL,0TO99
2143,1005,2010,37752.84,ALL,ALL,ALL,0TO99
2175,1052,2010,1085.18,ALL,ALL,ALL,0TO99
2160,1056,2010,2481.74,ALL,ALL,ALL,0TO99
2151,1061,2010,2079.10,ALL,ALL,ALL,0TO99
2186,1042,2010,4283.13,ALL,ALL,ALL,0TO99
2129,1043,2010,1492.73,ALL,ALL,ALL,0TO99
2138,1071,2010,2256.11,ALL,ALL,ALL,0TO99
2050,1060,2010,4172.65,ALL,ALL,ALL,0TO99
2062,1074,2010,2471.73,ALL,ALL,ALL,0TO99
2137,1017,2010,2643.96,ALL,ALL,ALL,0TO99
2145,1033,2010,2507.37,ALL,ALL,ALL,0TO99
2151,1041,2010,1911.72,ALL,ALL,ALL,0TO99
2148,1056,2010,4382.24,ALL,ALL,ALL,0TO99
2077,1070,2010,1398.65,ALL,ALL,ALL,0TO99
2149,1043,2010,6434.86,ALL,ALL,ALL,0TO99
2041,1064,2010,4169.57,ALL,ALL,ALL,0TO99
2057,1051,2010,5736.60,ALL,ALL,ALL,0TO99
2128,1041,2010,2309.91,ALL,ALL,ALL,0TO99
2149,1033,2010,4482.64,ALL,ALL,ALL,0TO99
2108,1044,2010,2040.39,ALL,ALL,ALL,0TO99
2038,1060,2010,6600.04,ALL,ALL,ALL,0TO99
2054,1041,2010,4298.46,ALL,ALL,ALL,0TO99
2150,1044,2010,131137.58,ALL,ALL,ALL,0TO99
2035,1047,2010,2936.26,ALL,ALL,ALL,0TO99
2055,1072,2010,1975.89,ALL,ALL,ALL,0TO99
2135,1049,2010,2873.65,ALL,ALL,ALL,0TO99
2158,1062,2010,2613.26,ALL,ALL,ALL,0TO99
2023,1044,2010,7280.16,ALL,ALL,ALL,0TO99
2053,1041,2010,4112.79,ALL,ALL,ALL,0TO99
2096,1070,2010,393.15,ALL,ALL,ALL,0TO99
2109,1074,2010,1610.57,ALL,ALL,ALL,0TO99
2151,1028,2010,2526.78,ALL,ALL,ALL,0TO99
2039,1061,2010,6466.17,ALL,ALL,ALL,0TO99
2137,1025,2010,2319.01,ALL,ALL,ALL,0TO99
2170,1029,2010,1571.28,ALL,ALL,ALL,0TO99
2102,1044,2010,2993.53,ALL,ALL,ALL,0TO99
2148,1023,2010,3128.27,ALL,ALL,ALL,0TO99
2052,1046,2010,7892.27,ALL,ALL,ALL,0TO99
2069,1073,2010,4047.58,ALL,ALL,ALL,0TO99
2076,1067,2010,1780.90,ALL,ALL,ALL,0TO99
2112,1046,2010,2188.08,ALL,ALL,ALL,0TO99
2119,1065,2010,1947.37,ALL,ALL,ALL,0TO99
2156,1063,2010,2460.44,ALL,ALL,ALL,0TO99
2135,1053,2010,2502.04,ALL,ALL,ALL,0TO99
2078,1069,2010,1351.40,ALL,ALL,ALL,0TO99
2111,1031,2010,1704.78,ALL,ALL,ALL,0TO99
2113,1055,2010,2035.02,ALL,ALL,ALL,0TO99
2129,1071,2010,2507.14,ALL,ALL,ALL,0TO99
2140,1047,2010,4499.90,ALL,ALL,ALL,0TO99
2125,1078,2010,1663.64,ALL,ALL,ALL,0TO99
2181,1054,2010,1840.70,ALL,ALL,ALL,0TO99
2125,1057,2010,2844.51,ALL,ALL,ALL,0TO99
2101,1064,2010,12699.33,ALL,ALL,ALL,0TO99
2037,1060,2010,6644.45,ALL,ALL,ALL,0TO99
2115,1075,2010,3158.67,ALL,ALL,ALL,0TO99
2087,1015,2010,3111.47,ALL,ALL,ALL,0TO99
2053,1054,2010,4572.11,ALL,ALL,ALL,0TO99
2044,1077,2010,2762.76,ALL,ALL,ALL,0TO99
2144,1054,2010,2658.89,ALL,ALL,ALL,0TO99
2165,1058,2010,6545.82,ALL,ALL,ALL,0TO99
2177,1034,2010,3094.18,ALL,ALL,ALL,0TO99
2052,1075,2010,2781.86,ALL,ALL,ALL,0TO99
2064,1048,2010,4250.99,ALL,ALL,ALL,0TO99
2092,1067,2010,2525.96,ALL,ALL,ALL,0TO99
2162,1049,2010,1893.56,ALL,ALL,ALL,0TO99
2126,1045,2010,1917.33,ALL,ALL,ALL,0TO99
2190,1043,2010,7749.13,ALL,ALL,ALL,0TO99
2062,1066,2010,27475.93,ALL,ALL,ALL,0TO99
2054,1067,2010,137897.97,ALL,ALL,ALL,0TO99
2072,1061,2010,6270.45,ALL,ALL,ALL,0TO99
2079,1064,2010,2471.08,ALL,ALL,ALL,0TO99
2141,1078,2010,1586.93,ALL,ALL,ALL,0TO99
2109,1045,2010,1907.36,ALL,ALL,ALL,0TO99
2147,1026,2010,1287.06,ALL,ALL,ALL,0TO99
2153,1036,2010,2336.48,ALL,ALL,ALL,0TO99
2075,1054,2010,2560.80,ALL,ALL,ALL,0TO99
