Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1236,220,2010,1643.13,ALL,ALL,ALL,0TO99
1238,219,2010,672.47,ALL,ALL,ALL,0TO99
1234,257,2010,779.31,ALL,ALL,ALL,0TO99
1218,221,2010,2071.34,ALL,ALL,ALL,0TO99
1239,225,2010,602.61,ALL,ALL,ALL,0TO99
1217,224,2010,1020.17,ALL,ALL,ALL,0TO99
1243,245,2010,1250.28,ALL,ALL,ALL,0TO99
1260,234,2010,703.64,ALL,ALL,ALL,0TO99
1257,220,2010,732.14,ALL,ALL,ALL,0TO99
1242,226,2010,564.93,ALL,ALL,ALL,0TO99
1233,247,2010,1025.61,ALL,ALL,ALL,0TO99
1235,248,2010,1026.71,ALL,ALL,ALL,0TO99
1225,220,2010,1985.69,ALL,ALL,ALL,0TO99
1258,222,2010,733.84,ALL,ALL,ALL,0TO99
1219,218,2010,1464.14,ALL,ALL,ALL,0TO99
1263,217,2010,450.17,ALL,ALL,ALL,0TO99
1246,237,2010,567.24,ALL,ALL,ALL,0TO99
1257,227,2010,609.92,ALL,ALL,ALL,0TO99
1249,245,2010,1356.16,ALL,ALL,ALL,0TO99
1259,234,2010,703.64,ALL,ALL,ALL,0TO99
1228,217,2010,2115.57,ALL,ALL,ALL,0TO99
1231,230,2010,491.72,ALL,ALL,ALL,0TO99
1254,243,2010,1353.23,ALL,ALL,ALL,0TO99
1253,226,2010,621.37,ALL,ALL,ALL,0TO99
1251,225,2010,637.19,ALL,ALL,ALL,0TO99
1222,221,2010,1432.63,ALL,ALL,ALL,0TO99
1247,215,2010,629.74,ALL,ALL,ALL,0TO99
1233,245,2010,1023.46,ALL,ALL,ALL,0TO99
1228,231,2010,586.12,ALL,ALL,ALL,0TO99
1234,254,2010,792.25,ALL,ALL,ALL,0TO99
1245,243,2010,1353.23,ALL,ALL,ALL,0TO99
1231,239,2010,940.13,ALL,ALL,ALL,0TO99
1253,227,2010,610.11,ALL,ALL,ALL,0TO99
1235,235,2010,713.27,ALL,ALL,ALL,0TO99
1243,219,2010,672.47,ALL,ALL,ALL,0TO99
1249,220,2010,633.49,ALL,ALL,ALL,0TO99
1242,241,2010,611.43,ALL,ALL,ALL,0TO99
1226,242,2010,943.22,ALL,ALL,ALL,0TO99
1223,231,2010,586.12,ALL,ALL,ALL,0TO99
1260,229,2010,611.30,ALL,ALL,ALL,0TO99
1233,237,2010,938.09,ALL,ALL,ALL,0TO99
1231,254,2010,792.25,ALL,ALL,ALL,0TO99
1235,253,2010,791.46,ALL,ALL,ALL,0TO99
1248,228,2010,601.05,ALL,ALL,ALL,0TO99
1235,250,2010,872.65,ALL,ALL,ALL,0TO99
1245,235,2010,566.74,ALL,ALL,ALL,0TO99
1254,228,2010,610.62,ALL,ALL,ALL,0TO99
1227,248,2010,1026.71,ALL,ALL,ALL,0TO99
1241,245,2010,614.08,ALL,ALL,ALL,0TO99
1232,227,2010,477.56,ALL,ALL,ALL,0TO99
1225,253,2010,791.46,ALL,ALL,ALL,0TO99
1233,254,2010,792.25,ALL,ALL,ALL,0TO99
1245,241,2010,611.43,ALL,ALL,ALL,0TO99
1248,214,2010,3046.67,ALL,ALL,ALL,0TO99
1224,238,2010,939.13,ALL,ALL,ALL,0TO99
1251,241,2010,660.90,ALL,ALL,ALL,0TO99
1224,232,2010,586.79,ALL,ALL,ALL,0TO99
1249,242,2010,1272.52,ALL,ALL,ALL,0TO99
1225,245,2010,1023.46,ALL,ALL,ALL,0TO99
1243,236,2010,608.09,ALL,ALL,ALL,0TO99
1234,215,2010,2121.54,ALL,ALL,ALL,0TO99
1255,233,2010,702.87,ALL,ALL,ALL,0TO99
1263,236,2010,705.21,ALL,ALL,ALL,0TO99
1234,229,2010,554.15,ALL,ALL,ALL,0TO99
1236,234,2010,606.71,ALL,ALL,ALL,0TO99
1226,228,2010,989.20,ALL,ALL,ALL,0TO99
1265,219,2010,370.12,ALL,ALL,ALL,0TO99
1247,213,2010,3587.60,ALL,ALL,ALL,0TO99
1230,237,2010,936.28,ALL,ALL,ALL,0TO99
1238,249,2010,1027.76,ALL,ALL,ALL,0TO99
1237,211,2010,157288.47,ALL,ALL,ALL,0TO99
1229,242,2010,985.85,ALL,ALL,ALL,0TO99
1218,224,2010,1020.23,ALL,ALL,ALL,0TO99
1236,242,2010,1015.72,ALL,ALL,ALL,0TO99
1221,221,2010,1555.25,ALL,ALL,ALL,0TO99
1250,221,2010,634.21,ALL,ALL,ALL,0TO99
1240,246,2010,614.72,ALL,ALL,ALL,0TO99
1246,236,2010,549.27,ALL,ALL,ALL,0TO99
1226,238,2010,939.13,ALL,ALL,ALL,0TO99
1236,243,2010,1021.25,ALL,ALL,ALL,0TO99
1265,225,2010,131.22,ALL,ALL,ALL,0TO99
1249,234,2010,703.64,ALL,ALL,ALL,0TO99
1266,230,2010,136.28,ALL,ALL,ALL,0TO99
1224,216,2010,2113.03,ALL,ALL,ALL,0TO99
1268,232,2010,161.45,ALL,ALL,ALL,0TO99
1240,233,2010,164.60,ALL,ALL,ALL,0TO99
1246,227,2010,618.84,ALL,ALL,ALL,0TO99
1265,231,2010,612.69,ALL,ALL,ALL,0TO99
1247,220,2010,634.95,ALL,ALL,ALL,0TO99
1228,252,2010,790.63,ALL,ALL,ALL,0TO99
1230,239,2010,940.13,ALL,ALL,ALL,0TO99
1254,239,2010,1168.77,ALL,ALL,ALL,0TO99
1253,213,2010,3842.24,ALL,ALL,ALL,0TO99
1242,212,2010,11650.42,ALL,ALL,ALL,0TO99
1231,243,2010,1021.25,ALL,ALL,ALL,0TO99
1247,236,2010,585.41,ALL,ALL,ALL,0TO99
1236,221,2010,812.56,ALL,ALL,ALL,0TO99
1229,218,2010,2118.37,ALL,ALL,ALL,0TO99
1249,222,2010,634.96,ALL,ALL,ALL,0TO99
1249,246,2010,1224.53,ALL,ALL,ALL,0TO99
1224,227,2010,1023.78,ALL,ALL,ALL,0TO99
1228,222,2010,1001.98,ALL,ALL,ALL,0TO99
1251,216,2010,838.07,ALL,ALL,ALL,0TO99
1256,241,2010,798.42,ALL,ALL,ALL,0TO99
1224,241,2010,942.19,ALL,ALL,ALL,0TO99
1227,250,2010,999.28,ALL,ALL,ALL,0TO99
1233,243,2010,1021.25,ALL,ALL,ALL,0TO99
1265,223,2010,1219.13,ALL,ALL,ALL,0TO99
1253,245,2010,1220.14,ALL,ALL,ALL,0TO99
1222,244,2010,945.23,ALL,ALL,ALL,0TO99
1262,238,2010,706.78,ALL,ALL,ALL,0TO99
1258,232,2010,627.40,ALL,ALL,ALL,0TO99
1263,228,2010,503.17,ALL,ALL,ALL,0TO99
1247,216,2010,630.47,ALL,ALL,ALL,0TO99
1228,237,2010,938.09,ALL,ALL,ALL,0TO99
1245,230,2010,554.80,ALL,ALL,ALL,0TO99
1223,223,2010,1019.08,ALL,ALL,ALL,0TO99
1248,211,2010,3175.05,ALL,ALL,ALL,0TO99
1241,228,2010,553.54,ALL,ALL,ALL,0TO99
1228,235,2010,634.21,ALL,ALL,ALL,0TO99
1261,226,2010,697.31,ALL,ALL,ALL,0TO99
1221,226,2010,1022.60,ALL,ALL,ALL,0TO99
1239,232,2010,207.98,ALL,ALL,ALL,0TO99
1243,232,2010,445.27,ALL,ALL,ALL,0TO99
1228,253,2010,791.46,ALL,ALL,ALL,0TO99
1231,221,2010,527.85,ALL,ALL,ALL,0TO99
1226,224,2010,1020.23,ALL,ALL,ALL,0TO99
1223,246,2010,1024.52,ALL,ALL,ALL,0TO99
1263,230,2010,612.02,ALL,ALL,ALL,0TO99
1235,240,2010,941.20,ALL,ALL,ALL,0TO99
1234,233,2010,545.38,ALL,ALL,ALL,0TO99
1244,233,2010,547.71,ALL,ALL,ALL,0TO99
1233,257,2010,786.57,ALL,ALL,ALL,0TO99
1236,248,2010,1026.71,ALL,ALL,ALL,0TO99
1217,220,2010,1336.60,ALL,ALL,ALL,0TO99
1239,246,2010,688.84,ALL,ALL,ALL,0TO99
1232,223,2010,529.09,ALL,ALL,ALL,0TO99
1246,243,2010,1353.23,ALL,ALL,ALL,0TO99
1235,254,2010,792.25,ALL,ALL,ALL,0TO99
1252,215,2010,3761.32,ALL,ALL,ALL,0TO99
1236,232,2010,507.40,ALL,ALL,ALL,0TO99
1251,231,2010,690.97,ALL,ALL,ALL,0TO99
1234,231,2010,380.70,ALL,ALL,ALL,0TO99
1232,219,2010,2131.54,ALL,ALL,ALL,0TO99
1239,217,2010,2015.55,ALL,ALL,ALL,0TO99
1244,219,2010,672.47,ALL,ALL,ALL,0TO99
1262,239,2010,636.97,ALL,ALL,ALL,0TO99
1223,220,2010,2010.15,ALL,ALL,ALL,0TO99
1228,226,2010,541.47,ALL,ALL,ALL,0TO99
1227,256,2010,790.55,ALL,ALL,ALL,0TO99
1236,241,2010,961.99,ALL,ALL,ALL,0TO99
1243,234,2010,311.84,ALL,ALL,ALL,0TO99
