Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2407,973,D24HourMean,QuarterlyMean,Mean,50.01
2370,992,D24HourMean,QuarterlyMean,Mean,22.33
2452,981,D24HourMean,QuarterlyMean,Mean,29.50
2510,980,D24HourMean,QuarterlyMean,Mean,6.59
2462,973,D24HourMean,QuarterlyMean,Mean,18.13
2446,970,D24HourMean,QuarterlyMean,Mean,21.44
2461,948,D24HourMean,QuarterlyMean,Mean,16.94
2376,992,D24HourMean,QuarterlyMean,Mean,25.80
2438,959,D24HourMean,QuarterlyMean,Mean,30.57
2453,995,D24HourMean,QuarterlyMean,Mean,50.12
2363,984,D24HourMean,QuarterlyMean,Mean,27.89
2459,982,D24HourMean,QuarterlyMean,Mean,26.51
2398,1002,D24HourMean,QuarterlyMean,Mean,-5.05
2436,967,D24HourMean,QuarterlyMean,Mean,27.84
2372,993,D24HourMean,QuarterlyMean,Mean,22.82
2428,987,D24HourMean,QuarterlyMean,Mean,26.47
2449,977,D24HourMean,QuarterlyMean,Mean,25.23
2446,967,D24HourMean,QuarterlyMean,Mean,23.86
2450,955,D24HourMean,QuarterlyMean,Mean,18.44
2457,982,D24HourMean,QuarterlyMean,Mean,28.26
2491,963,D24HourMean,QuarterlyMean,Mean,16.25
2400,982,D24HourMean,QuarterlyMean,Mean,36.70
2462,966,D24HourMean,QuarterlyMean,Mean,15.51
2376,982,D24HourMean,QuarterlyMean,Mean,8.52
2385,994,D24HourMean,QuarterlyMean,Mean,24.38
2419,988,D24HourMean,QuarterlyMean,Mean,26.20
2388,991,D24HourMean,QuarterlyMean,Mean,25.81
2396,996,D24HourMean,QuarterlyMean,Mean,22.52
2419,971,D24HourMean,QuarterlyMean,Mean,32.24
2415,999,D24HourMean,QuarterlyMean,Mean,22.90
2401,1007,D24HourMean,QuarterlyMean,Mean,-4.57
2506,972,D24HourMean,QuarterlyMean,Mean,11.13
2409,978,D24HourMean,QuarterlyMean,Mean,35.46
2428,958,D24HourMean,QuarterlyMean,Mean,39.75
2447,989,D24HourMean,QuarterlyMean,Mean,43.04
2483,941,D24HourMean,QuarterlyMean,Mean,17.03
2527,967,D24HourMean,QuarterlyMean,Mean,15.79
2393,988,D24HourMean,QuarterlyMean,Mean,30.08
2465,940,D24HourMean,QuarterlyMean,Mean,16.50
2443,957,D24HourMean,QuarterlyMean,Mean,26.40
2438,980,D24HourMean,QuarterlyMean,Mean,25.42
