Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2407,973,2010,19408.08,ALL,ALL,ALL,0TO99
2370,992,2010,70.51,ALL,ALL,ALL,0TO99
2452,981,2010,82.22,ALL,ALL,ALL,0TO99
2510,980,2010,2331.75,ALL,ALL,ALL,0TO99
2462,973,2010,83.25,ALL,ALL,ALL,0TO99
2446,970,2010,530.56,ALL,ALL,ALL,0TO99
2461,948,2010,6229.98,ALL,ALL,ALL,0TO99
2376,992,2010,68.45,ALL,ALL,ALL,0TO99
2438,959,2010,2541.27,ALL,ALL,ALL,0TO99
2453,995,2010,91.09,ALL,ALL,ALL,0TO99
2363,984,2010,71.43,ALL,ALL,ALL,0TO99
2459,982,2010,82.09,ALL,ALL,ALL,0TO99
2398,1002,2010,0.00,ALL,ALL,ALL,0TO99
2436,967,2010,991.42,ALL,ALL,ALL,0TO99
2372,993,2010,70.39,ALL,ALL,ALL,0TO99
2428,987,2010,40.98,ALL,ALL,ALL,0TO99
2449,977,2010,82.73,ALL,ALL,ALL,0TO99
2446,967,2010,5064.38,ALL,ALL,ALL,0TO99
2450,955,2010,3170.19,ALL,ALL,ALL,0TO99
2457,982,2010,82.09,ALL,ALL,ALL,0TO99
2491,963,2010,16073.84,ALL,ALL,ALL,0TO99
2400,982,2010,4223.82,ALL,ALL,ALL,0TO99
2462,966,2010,963.09,ALL,ALL,ALL,0TO99
2376,982,2010,18.56,ALL,ALL,ALL,0TO99
2385,994,2010,54.45,ALL,ALL,ALL,0TO99
2419,988,2010,2368.29,ALL,ALL,ALL,0TO99
2388,991,2010,70.62,ALL,ALL,ALL,0TO99
2396,996,2010,159.98,ALL,ALL,ALL,0TO99
2419,971,2010,4695.04,ALL,ALL,ALL,0TO99
2415,999,2010,313.56,ALL,ALL,ALL,0TO99
2401,1007,2010,0.00,ALL,ALL,ALL,0TO99
2506,972,2010,5326.52,ALL,ALL,ALL,0TO99
2409,978,2010,1649.83,ALL,ALL,ALL,0TO99
2428,958,2010,1814.27,ALL,ALL,ALL,0TO99
2447,989,2010,52.65,ALL,ALL,ALL,0TO99
2483,941,2010,4749.28,ALL,ALL,ALL,0TO99
2527,967,2010,40373.22,ALL,ALL,ALL,0TO99
2393,988,2010,4180.45,ALL,ALL,ALL,0TO99
2465,940,2010,2295.71,ALL,ALL,ALL,0TO99
2443,957,2010,2740.95,ALL,ALL,ALL,0TO99
2438,980,2010,41.43,ALL,ALL,ALL,0TO99
2394,987,2010,4213.29,ALL,ALL,ALL,0TO99
2450,966,2010,4775.92,ALL,ALL,ALL,0TO99
2438,968,2010,532.22,ALL,ALL,ALL,0TO99
2442,990,2010,40.77,ALL,ALL,ALL,0TO99
2469,967,2010,924.88,ALL,ALL,ALL,0TO99
2376,1006,2010,68.87,ALL,ALL,ALL,0TO99
2459,962,2010,11082.47,ALL,ALL,ALL,0TO99
2436,977,2010,53.45,ALL,ALL,ALL,0TO99
2434,981,2010,41.37,ALL,ALL,ALL,0TO99
2467,949,2010,16341.41,ALL,ALL,ALL,0TO99
2426,982,2010,41.30,ALL,ALL,ALL,0TO99
2388,1002,2010,0.00,ALL,ALL,ALL,0TO99
2369,990,2010,70.73,ALL,ALL,ALL,0TO99
2416,980,2010,2198.73,ALL,ALL,ALL,0TO99
2470,934,2010,15545.08,ALL,ALL,ALL,0TO99
2407,972,2010,14886.72,ALL,ALL,ALL,0TO99
2436,956,2010,1844.48,ALL,ALL,ALL,0TO99
2362,992,2010,70.51,ALL,ALL,ALL,0TO99
2375,1007,2010,68.75,ALL,ALL,ALL,0TO99
2400,988,2010,1064.53,ALL,ALL,ALL,0TO99
2436,973,2010,65.23,ALL,ALL,ALL,0TO99
2507,979,2010,3177.81,ALL,ALL,ALL,0TO99
2514,969,2010,27708.79,ALL,ALL,ALL,0TO99
2444,993,2010,40.58,ALL,ALL,ALL,0TO99
2456,976,2010,82.86,ALL,ALL,ALL,0TO99
2493,973,2010,756035.19,ALL,ALL,ALL,0TO99
2452,983,2010,81.96,ALL,ALL,ALL,0TO99
2450,983,2010,81.96,ALL,ALL,ALL,0TO99
2484,964,2010,9718.01,ALL,ALL,ALL,0TO99
2471,971,2010,919.30,ALL,ALL,ALL,0TO99
2407,987,2010,857.48,ALL,ALL,ALL,0TO99
2449,953,2010,2993.85,ALL,ALL,ALL,0TO99
2367,1001,2010,69.46,ALL,ALL,ALL,0TO99
2375,982,2010,3.14,ALL,ALL,ALL,0TO99
2389,1004,2010,0.00,ALL,ALL,ALL,0TO99
2378,991,2010,33.74,ALL,ALL,ALL,0TO99
2508,972,2010,5045.46,ALL,ALL,ALL,0TO99
2487,967,2010,21479.19,ALL,ALL,ALL,0TO99
2444,963,2010,3741.70,ALL,ALL,ALL,0TO99
2367,1003,2010,69.22,ALL,ALL,ALL,0TO99
2389,990,2010,54156.89,ALL,ALL,ALL,0TO99
2367,983,2010,71.54,ALL,ALL,ALL,0TO99
2453,991,2010,80.91,ALL,ALL,ALL,0TO99
2461,962,2010,11058.82,ALL,ALL,ALL,0TO99
2476,949,2010,5430.56,ALL,ALL,ALL,0TO99
2364,981,2010,71.77,ALL,ALL,ALL,0TO99
2510,967,2010,17013.95,ALL,ALL,ALL,0TO99
2389,997,2010,159.86,ALL,ALL,ALL,0TO99
2384,995,2010,63.46,ALL,ALL,ALL,0TO99
2447,975,2010,11714.22,ALL,ALL,ALL,0TO99
2444,995,2010,47.69,ALL,ALL,ALL,0TO99
2457,971,2010,83.50,ALL,ALL,ALL,0TO99
2386,1014,2010,34.33,ALL,ALL,ALL,0TO99
2466,958,2010,27298.12,ALL,ALL,ALL,0TO99
2484,957,2010,4633.78,ALL,ALL,ALL,0TO99
2367,992,2010,70.51,ALL,ALL,ALL,0TO99
2454,945,2010,3696.35,ALL,ALL,ALL,0TO99
2387,1004,2010,0.00,ALL,ALL,ALL,0TO99
2456,966,2010,963.09,ALL,ALL,ALL,0TO99
2380,999,2010,69.69,ALL,ALL,ALL,0TO99
2423,994,2010,40.66,ALL,ALL,ALL,0TO99
2425,981,2010,41.37,ALL,ALL,ALL,0TO99
2417,985,2010,2379.71,ALL,ALL,ALL,0TO99
2420,986,2010,1880.46,ALL,ALL,ALL,0TO99
2521,970,2010,41241.48,ALL,ALL,ALL,0TO99
2406,1001,2010,0.00,ALL,ALL,ALL,0TO99
2446,979,2010,82.48,ALL,ALL,ALL,0TO99
