Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1144,628,D24HourMean,QuarterlyMean,Mean,7.49
1145,617,D24HourMean,QuarterlyMean,Mean,6.23
1158,609,D24HourMean,QuarterlyMean,Mean,6.75
1128,631,D24HourMean,QuarterlyMean,Mean,6.95
1139,643,D24HourMean,QuarterlyMean,Mean,9.57
1108,640,D24HourMean,QuarterlyMean,Mean,7.61
1144,585,D24HourMean,QuarterlyMean,Mean,4.85
1132,639,D24HourMean,QuarterlyMean,Mean,6.58
1125,640,D24HourMean,QuarterlyMean,Mean,8.13
1185,616,D24HourMean,QuarterlyMean,Mean,6.59
1130,580,D24HourMean,QuarterlyMean,Mean,4.57
1165,609,D24HourMean,QuarterlyMean,Mean,7.68
1119,658,D24HourMean,QuarterlyMean,Mean,7.51
1123,661,D24HourMean,QuarterlyMean,Mean,7.76
1177,640,D24HourMean,QuarterlyMean,Mean,6.07
1152,581,D24HourMean,QuarterlyMean,Mean,5.28
1146,612,D24HourMean,QuarterlyMean,Mean,5.93
1142,612,D24HourMean,QuarterlyMean,Mean,5.61
1104,673,D24HourMean,QuarterlyMean,Mean,8.45
1178,650,D24HourMean,QuarterlyMean,Mean,6.52
1144,589,D24HourMean,QuarterlyMean,Mean,4.90
1148,574,D24HourMean,QuarterlyMean,Mean,4.87
1128,657,D24HourMean,QuarterlyMean,Mean,7.05
1147,603,D24HourMean,QuarterlyMean,Mean,6.59
1182,617,D24HourMean,QuarterlyMean,Mean,6.82
1093,660,D24HourMean,QuarterlyMean,Mean,8.31
1153,660,D24HourMean,QuarterlyMean,Mean,7.87
1185,619,D24HourMean,QuarterlyMean,Mean,8.03
1137,588,D24HourMean,QuarterlyMean,Mean,5.14
1150,639,D24HourMean,QuarterlyMean,Mean,7.86
1131,594,D24HourMean,QuarterlyMean,Mean,5.07
1181,651,D24HourMean,QuarterlyMean,Mean,7.17
1157,614,D24HourMean,QuarterlyMean,Mean,6.02
1127,614,D24HourMean,QuarterlyMean,Mean,5.34
1136,597,D24HourMean,QuarterlyMean,Mean,4.98
1136,600,D24HourMean,QuarterlyMean,Mean,5.01
1170,640,D24HourMean,QuarterlyMean,Mean,6.75
1141,587,D24HourMean,QuarterlyMean,Mean,4.83
