Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1144,628,2010,226.27,ALL,ALL,ALL,0TO99
1145,617,2010,2.22,ALL,ALL,ALL,0TO99
1158,609,2010,41.19,ALL,ALL,ALL,0TO99
1128,631,2010,177.10,ALL,ALL,ALL,0TO99
1139,643,2010,1458.70,ALL,ALL,ALL,0TO99
1108,640,2010,426.73,ALL,ALL,ALL,0TO99
1144,585,2010,4.00,ALL,ALL,ALL,0TO99
1132,639,2010,1263.56,ALL,ALL,ALL,0TO99
1125,640,2010,1446.79,ALL,ALL,ALL,0TO99
1185,616,2010,24.07,ALL,ALL,ALL,0TO99
1130,580,2010,11.06,ALL,ALL,ALL,0TO99
1165,609,2010,89.93,ALL,ALL,ALL,0TO99
1119,658,2010,5788.69,ALL,ALL,ALL,0TO99
1123,661,2010,3919.45,ALL,ALL,ALL,0TO99
1177,640,2010,794.45,ALL,ALL,ALL,0TO99
1152,581,2010,2.23,ALL,ALL,ALL,0TO99
1146,612,2010,2.22,ALL,ALL,ALL,0TO99
1142,612,2010,2.22,ALL,ALL,ALL,0TO99
1104,673,2010,11991.00,ALL,ALL,ALL,0TO99
1178,650,2010,1283.05,ALL,ALL,ALL,0TO99
1144,589,2010,2.23,ALL,ALL,ALL,0TO99
1148,574,2010,4.00,ALL,ALL,ALL,0TO99
1128,657,2010,9715.63,ALL,ALL,ALL,0TO99
1147,603,2010,2.23,ALL,ALL,ALL,0TO99
1182,617,2010,24.06,ALL,ALL,ALL,0TO99
1093,660,2010,3318.68,ALL,ALL,ALL,0TO99
1153,660,2010,30290.23,ALL,ALL,ALL,0TO99
1185,619,2010,203.00,ALL,ALL,ALL,0TO99
1137,588,2010,7.36,ALL,ALL,ALL,0TO99
1150,639,2010,220.19,ALL,ALL,ALL,0TO99
1131,594,2010,13.52,ALL,ALL,ALL,0TO99
1181,651,2010,993.80,ALL,ALL,ALL,0TO99
1157,614,2010,41.16,ALL,ALL,ALL,0TO99
1127,614,2010,1794.17,ALL,ALL,ALL,0TO99
1136,597,2010,13.52,ALL,ALL,ALL,0TO99
1136,600,2010,13.51,ALL,ALL,ALL,0TO99
1170,640,2010,5368.51,ALL,ALL,ALL,0TO99
1141,587,2010,4.41,ALL,ALL,ALL,0TO99
1159,581,2010,2.23,ALL,ALL,ALL,0TO99
1183,604,2010,24.11,ALL,ALL,ALL,0TO99
1200,643,2010,8.81,ALL,ALL,ALL,0TO99
1133,583,2010,6.50,ALL,ALL,ALL,0TO99
1171,645,2010,1913.84,ALL,ALL,ALL,0TO99
1156,648,2010,1125.54,ALL,ALL,ALL,0TO99
1142,617,2010,2.22,ALL,ALL,ALL,0TO99
1144,598,2010,2.23,ALL,ALL,ALL,0TO99
1155,618,2010,41.13,ALL,ALL,ALL,0TO99
1112,665,2010,4436.82,ALL,ALL,ALL,0TO99
1098,643,2010,1845.80,ALL,ALL,ALL,0TO99
1142,654,2010,1863.73,ALL,ALL,ALL,0TO99
1157,631,2010,41.02,ALL,ALL,ALL,0TO99
1167,630,2010,89.58,ALL,ALL,ALL,0TO99
1200,642,2010,9.05,ALL,ALL,ALL,0TO99
1124,590,2010,38.84,ALL,ALL,ALL,0TO99
1179,629,2010,796.47,ALL,ALL,ALL,0TO99
1153,633,2010,41.00,ALL,ALL,ALL,0TO99
1091,636,2010,1693.36,ALL,ALL,ALL,0TO99
1152,637,2010,220.29,ALL,ALL,ALL,0TO99
1163,650,2010,1214.80,ALL,ALL,ALL,0TO99
1095,661,2010,3312.59,ALL,ALL,ALL,0TO99
1121,664,2010,48926.99,ALL,ALL,ALL,0TO99
1146,646,2010,315.13,ALL,ALL,ALL,0TO99
1147,578,2010,2.23,ALL,ALL,ALL,0TO99
1096,661,2010,3312.59,ALL,ALL,ALL,0TO99
1088,639,2010,1042.92,ALL,ALL,ALL,0TO99
1186,621,2010,202.93,ALL,ALL,ALL,0TO99
1110,668,2010,1741.39,ALL,ALL,ALL,0TO99
1086,642,2010,5275.98,ALL,ALL,ALL,0TO99
1128,600,2010,13.41,ALL,ALL,ALL,0TO99
1123,629,2010,177.17,ALL,ALL,ALL,0TO99
1132,588,2010,6.49,ALL,ALL,ALL,0TO99
1134,622,2010,226.54,ALL,ALL,ALL,0TO99
1184,633,2010,520.75,ALL,ALL,ALL,0TO99
1144,609,2010,2.23,ALL,ALL,ALL,0TO99
1160,650,2010,1214.80,ALL,ALL,ALL,0TO99
1106,644,2010,1408.45,ALL,ALL,ALL,0TO99
1125,606,2010,3.79,ALL,ALL,ALL,0TO99
1134,639,2010,435.08,ALL,ALL,ALL,0TO99
1129,602,2010,5.60,ALL,ALL,ALL,0TO99
1149,657,2010,1329.89,ALL,ALL,ALL,0TO99
1163,660,2010,3453.03,ALL,ALL,ALL,0TO99
1122,630,2010,177.13,ALL,ALL,ALL,0TO99
1095,657,2010,5481.66,ALL,ALL,ALL,0TO99
1183,612,2010,24.08,ALL,ALL,ALL,0TO99
1191,628,2010,191.47,ALL,ALL,ALL,0TO99
