Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2889,695,2010,784.96,ALL,ALL,ALL,0TO99
2861,655,2010,52548.14,ALL,ALL,ALL,0TO99
2893,693,2010,48734.41,ALL,ALL,ALL,0TO99
2852,755,2010,7985.12,ALL,ALL,ALL,0TO99
2845,772,2010,9197.56,ALL,ALL,ALL,0TO99
2854,653,2010,24435.51,ALL,ALL,ALL,0TO99
2881,708,2010,1288.80,ALL,ALL,ALL,0TO99
2866,770,2010,116789.41,ALL,ALL,ALL,0TO99
2887,693,2010,2973.73,ALL,ALL,ALL,0TO99
2861,788,2010,10678.67,ALL,ALL,ALL,0TO99
2884,695,2010,22048.76,ALL,ALL,ALL,0TO99
2857,743,2010,15707.55,ALL,ALL,ALL,0TO99
2876,720,2010,1537.22,ALL,ALL,ALL,0TO99
2854,767,2010,39724.02,ALL,ALL,ALL,0TO99
2858,744,2010,76120.23,ALL,ALL,ALL,0TO99
2875,666,2010,21206.12,ALL,ALL,ALL,0TO99
2833,781,2010,3853.03,ALL,ALL,ALL,0TO99
2835,770,2010,4115.37,ALL,ALL,ALL,0TO99
2856,764,2010,25252.53,ALL,ALL,ALL,0TO99
2841,770,2010,5337.26,ALL,ALL,ALL,0TO99
2879,676,2010,23676.64,ALL,ALL,ALL,0TO99
2857,660,2010,103630.73,ALL,ALL,ALL,0TO99
2852,655,2010,21747.16,ALL,ALL,ALL,0TO99
2853,745,2010,4781.56,ALL,ALL,ALL,0TO99
2859,655,2010,46612.55,ALL,ALL,ALL,0TO99
2877,708,2010,4887.96,ALL,ALL,ALL,0TO99
2846,771,2010,9927.29,ALL,ALL,ALL,0TO99
2863,735,2010,6533.14,ALL,ALL,ALL,0TO99
2854,765,2010,28700.95,ALL,ALL,ALL,0TO99
2891,687,2010,5390.13,ALL,ALL,ALL,0TO99
2849,778,2010,19111.60,ALL,ALL,ALL,0TO99
2871,723,2010,3450.05,ALL,ALL,ALL,0TO99
2882,694,2010,6483.94,ALL,ALL,ALL,0TO99
2868,779,2010,18207.40,ALL,ALL,ALL,0TO99
2863,785,2010,4841.14,ALL,ALL,ALL,0TO99
2865,775,2010,16706.82,ALL,ALL,ALL,0TO99
2872,671,2010,25321.34,ALL,ALL,ALL,0TO99
2868,679,2010,22271.33,ALL,ALL,ALL,0TO99
2857,755,2010,59941.79,ALL,ALL,ALL,0TO99
2891,676,2010,56085.32,ALL,ALL,ALL,0TO99
2877,667,2010,12359.74,ALL,ALL,ALL,0TO99
2835,781,2010,5323.40,ALL,ALL,ALL,0TO99
2858,781,2010,7085.36,ALL,ALL,ALL,0TO99
2889,682,2010,5668.08,ALL,ALL,ALL,0TO99
2833,782,2010,3740.11,ALL,ALL,ALL,0TO99
2874,676,2010,12757.09,ALL,ALL,ALL,0TO99
2847,663,2010,11169.18,ALL,ALL,ALL,0TO99
2862,766,2010,154508.11,ALL,ALL,ALL,0TO99
2866,774,2010,29717.79,ALL,ALL,ALL,0TO99
2869,768,2010,36549.14,ALL,ALL,ALL,0TO99
2863,765,2010,142893.48,ALL,ALL,ALL,0TO99
2855,666,2010,50515.47,ALL,ALL,ALL,0TO99
2863,767,2010,139430.34,ALL,ALL,ALL,0TO99
2850,790,2010,11783.46,ALL,ALL,ALL,0TO99
2838,771,2010,7386.48,ALL,ALL,ALL,0TO99
2845,753,2010,4516.82,ALL,ALL,ALL,0TO99
2890,700,2010,14991.01,ALL,ALL,ALL,0TO99
2845,779,2010,6196.95,ALL,ALL,ALL,0TO99
2868,771,2010,11115.67,ALL,ALL,ALL,0TO99
2884,692,2010,5215.96,ALL,ALL,ALL,0TO99
2855,785,2010,6461.26,ALL,ALL,ALL,0TO99
2857,785,2010,8909.74,ALL,ALL,ALL,0TO99
2843,781,2010,13763.12,ALL,ALL,ALL,0TO99
2885,712,2010,5936.97,ALL,ALL,ALL,0TO99
2881,675,2010,24894.97,ALL,ALL,ALL,0TO99
2882,669,2010,132750.98,ALL,ALL,ALL,0TO99
2861,741,2010,15024.60,ALL,ALL,ALL,0TO99
2856,666,2010,30760.88,ALL,ALL,ALL,0TO99
2887,711,2010,42962.81,ALL,ALL,ALL,0TO99
2874,673,2010,25774.97,ALL,ALL,ALL,0TO99
2859,738,2010,5487.72,ALL,ALL,ALL,0TO99
2879,722,2010,23724.74,ALL,ALL,ALL,0TO99
2851,760,2010,3395.75,ALL,ALL,ALL,0TO99
2865,763,2010,146573.28,ALL,ALL,ALL,0TO99
2865,766,2010,145171.55,ALL,ALL,ALL,0TO99
2883,709,2010,2134.17,ALL,ALL,ALL,0TO99
2839,780,2010,5752.23,ALL,ALL,ALL,0TO99
2854,658,2010,44927.07,ALL,ALL,ALL,0TO99
2880,669,2010,14847.59,ALL,ALL,ALL,0TO99
2837,786,2010,6044.71,ALL,ALL,ALL,0TO99
2842,781,2010,4425.11,ALL,ALL,ALL,0TO99
2862,760,2010,137491.98,ALL,ALL,ALL,0TO99
2881,692,2010,10432.23,ALL,ALL,ALL,0TO99
2883,714,2010,17923.54,ALL,ALL,ALL,0TO99
2852,754,2010,7455.67,ALL,ALL,ALL,0TO99
2866,662,2010,64135.37,ALL,ALL,ALL,0TO99
2851,789,2010,5935.81,ALL,ALL,ALL,0TO99
2853,781,2010,27777.96,ALL,ALL,ALL,0TO99
2892,692,2010,14229.42,ALL,ALL,ALL,0TO99
2881,693,2010,2986.65,ALL,ALL,ALL,0TO99
2858,757,2010,164665.97,ALL,ALL,ALL,0TO99
2862,667,2010,11675.39,ALL,ALL,ALL,0TO99
2859,770,2010,1261737.50,ALL,ALL,ALL,0TO99
2862,663,2010,112538.41,ALL,ALL,ALL,0TO99
2853,658,2010,53762.70,ALL,ALL,ALL,0TO99
2883,685,2010,35307.63,ALL,ALL,ALL,0TO99
2855,747,2010,54242.06,ALL,ALL,ALL,0TO99
2864,778,2010,15049.67,ALL,ALL,ALL,0TO99
2861,775,2010,20332.99,ALL,ALL,ALL,0TO99
2862,671,2010,44917.04,ALL,ALL,ALL,0TO99
2881,674,2010,7594.38,ALL,ALL,ALL,0TO99
2828,783,2010,1654.22,ALL,ALL,ALL,0TO99
2848,769,2010,9961.85,ALL,ALL,ALL,0TO99
2849,761,2010,2567.93,ALL,ALL,ALL,0TO99
2866,767,2010,131245.16,ALL,ALL,ALL,0TO99
2839,782,2010,6753.06,ALL,ALL,ALL,0TO99
2865,735,2010,16280.64,ALL,ALL,ALL,0TO99
2835,773,2010,6967.59,ALL,ALL,ALL,0TO99
2865,677,2010,5163.77,ALL,ALL,ALL,0TO99
2855,770,2010,41884.65,ALL,ALL,ALL,0TO99
2864,771,2010,73918.00,ALL,ALL,ALL,0TO99
2890,665,2010,24432.01,ALL,ALL,ALL,0TO99
2868,661,2010,25730.06,ALL,ALL,ALL,0TO99
2857,661,2010,108370.31,ALL,ALL,ALL,0TO99
2871,729,2010,31595.29,ALL,ALL,ALL,0TO99
2880,711,2010,2612.43,ALL,ALL,ALL,0TO99
2887,713,2010,18618.73,ALL,ALL,ALL,0TO99
2860,772,2010,135888.73,ALL,ALL,ALL,0TO99
2862,733,2010,410.14,ALL,ALL,ALL,0TO99
2866,776,2010,24520.88,ALL,ALL,ALL,0TO99
2879,690,2010,6645.35,ALL,ALL,ALL,0TO99
2873,727,2010,58225.70,ALL,ALL,ALL,0TO99
2851,790,2010,11018.05,ALL,ALL,ALL,0TO99
2882,684,2010,17230.73,ALL,ALL,ALL,0TO99
2876,717,2010,981.74,ALL,ALL,ALL,0TO99
2890,696,2010,3692.78,ALL,ALL,ALL,0TO99
2866,783,2010,8805.68,ALL,ALL,ALL,0TO99
2844,784,2010,5329.60,ALL,ALL,ALL,0TO99
2853,663,2010,35335.95,ALL,ALL,ALL,0TO99
2866,733,2010,13042.05,ALL,ALL,ALL,0TO99
2856,779,2010,8770.33,ALL,ALL,ALL,0TO99
2876,683,2010,8966.64,ALL,ALL,ALL,0TO99
2880,719,2010,9945.27,ALL,ALL,ALL,0TO99
2877,719,2010,4399.24,ALL,ALL,ALL,0TO99
2878,670,2010,10290.91,ALL,ALL,ALL,0TO99
2880,698,2010,11310.41,ALL,ALL,ALL,0TO99
2857,759,2010,122810.44,ALL,ALL,ALL,0TO99
2872,676,2010,9505.05,ALL,ALL,ALL,0TO99
2850,763,2010,4989.43,ALL,ALL,ALL,0TO99
2893,684,2010,18673.11,ALL,ALL,ALL,0TO99
2858,756,2010,123561.63,ALL,ALL,ALL,0TO99
2863,779,2010,7849.58,ALL,ALL,ALL,0TO99
2874,670,2010,26927.26,ALL,ALL,ALL,0TO99
2825,783,2010,539.21,ALL,ALL,ALL,0TO99
2863,663,2010,116895.59,ALL,ALL,ALL,0TO99
2831,778,2010,2165.79,ALL,ALL,ALL,0TO99
2860,784,2010,6688.09,ALL,ALL,ALL,0TO99
2886,683,2010,1276.04,ALL,ALL,ALL,0TO99
2861,736,2010,1402.50,ALL,ALL,ALL,0TO99
2846,776,2010,25227.20,ALL,ALL,ALL,0TO99
2863,761,2010,149646.44,ALL,ALL,ALL,0TO99
2862,769,2010,133965.33,ALL,ALL,ALL,0TO99
2861,661,2010,88583.53,ALL,ALL,ALL,0TO99
2862,659,2010,72267.24,ALL,ALL,ALL,0TO99
2892,681,2010,24304.19,ALL,ALL,ALL,0TO99
