Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
3494,364,2010,3024.45,ALL,ALL,ALL,0TO99
3479,406,2010,0.00,ALL,ALL,ALL,0TO99
3474,399,2010,1691.96,ALL,ALL,ALL,0TO99
3491,371,2010,2825.78,ALL,ALL,ALL,0TO99
3475,397,2010,1830.55,ALL,ALL,ALL,0TO99
3499,357,2010,1119.24,ALL,ALL,ALL,0TO99
3494,365,2010,2132.63,ALL,ALL,ALL,0TO99
3482,392,2010,3471.20,ALL,ALL,ALL,0TO99
3475,396,2010,1818.90,ALL,ALL,ALL,0TO99
3483,396,2010,1046.06,ALL,ALL,ALL,0TO99
3471,405,2010,1656.62,ALL,ALL,ALL,0TO99
3476,395,2010,1891.10,ALL,ALL,ALL,0TO99
3469,404,2010,1619.22,ALL,ALL,ALL,0TO99
3468,410,2010,1149.51,ALL,ALL,ALL,0TO99
3493,370,2010,2623.19,ALL,ALL,ALL,0TO99
3492,372,2010,2824.37,ALL,ALL,ALL,0TO99
3467,412,2010,1190.96,ALL,ALL,ALL,0TO99
3471,404,2010,1424.98,ALL,ALL,ALL,0TO99
3468,407,2010,1651.22,ALL,ALL,ALL,0TO99
3481,397,2010,1798.54,ALL,ALL,ALL,0TO99
3474,400,2010,665.73,ALL,ALL,ALL,0TO99
3467,407,2010,835.46,ALL,ALL,ALL,0TO99
3475,422,2010,1477.82,ALL,ALL,ALL,0TO99
3492,373,2010,1338.23,ALL,ALL,ALL,0TO99
3466,412,2010,1062.00,ALL,ALL,ALL,0TO99
3472,405,2010,1563.41,ALL,ALL,ALL,0TO99
3469,407,2010,1542.49,ALL,ALL,ALL,0TO99
3482,408,2010,0.00,ALL,ALL,ALL,0TO99
3482,406,2010,0.00,ALL,ALL,ALL,0TO99
3483,400,2010,0.00,ALL,ALL,ALL,0TO99
3475,394,2010,961.51,ALL,ALL,ALL,0TO99
3475,417,2010,1444.38,ALL,ALL,ALL,0TO99
3472,407,2010,1023.76,ALL,ALL,ALL,0TO99
3482,409,2010,0.00,ALL,ALL,ALL,0TO99
3470,407,2010,1612.57,ALL,ALL,ALL,0TO99
3475,398,2010,1429.57,ALL,ALL,ALL,0TO99
3472,399,2010,663.74,ALL,ALL,ALL,0TO99
3474,398,2010,1094.46,ALL,ALL,ALL,0TO99
3472,404,2010,1130.48,ALL,ALL,ALL,0TO99
3474,424,2010,587.83,ALL,ALL,ALL,0TO99
3483,395,2010,1546.94,ALL,ALL,ALL,0TO99
3477,396,2010,1824.82,ALL,ALL,ALL,0TO99
3476,421,2010,857.57,ALL,ALL,ALL,0TO99
3491,373,2010,1809.75,ALL,ALL,ALL,0TO99
3478,405,2010,0.00,ALL,ALL,ALL,0TO99
3467,408,2010,1232.27,ALL,ALL,ALL,0TO99
3467,405,2010,705.38,ALL,ALL,ALL,0TO99
3480,397,2010,1105.47,ALL,ALL,ALL,0TO99
3471,409,2010,1155.89,ALL,ALL,ALL,0TO99
3469,406,2010,1641.87,ALL,ALL,ALL,0TO99
3499,358,2010,1645.54,ALL,ALL,ALL,0TO99
3484,382,2010,5723.82,ALL,ALL,ALL,0TO99
3477,395,2010,1888.60,ALL,ALL,ALL,0TO99
3485,384,2010,3200.59,ALL,ALL,ALL,0TO99
3470,406,2010,1657.40,ALL,ALL,ALL,0TO99
3492,371,2010,3167.50,ALL,ALL,ALL,0TO99
3468,406,2010,1657.40,ALL,ALL,ALL,0TO99
3476,397,2010,1691.00,ALL,ALL,ALL,0TO99
3471,406,2010,1657.40,ALL,ALL,ALL,0TO99
3493,366,2010,1120.13,ALL,ALL,ALL,0TO99
3471,407,2010,1658.19,ALL,ALL,ALL,0TO99
3482,393,2010,4203.91,ALL,ALL,ALL,0TO99
3475,395,2010,1434.68,ALL,ALL,ALL,0TO99
3467,411,2010,1659.00,ALL,ALL,ALL,0TO99
3483,401,2010,0.00,ALL,ALL,ALL,0TO99
3486,382,2010,4419.74,ALL,ALL,ALL,0TO99
3482,397,2010,1890.72,ALL,ALL,ALL,0TO99
3495,364,2010,2440.83,ALL,ALL,ALL,0TO99
3482,403,2010,0.00,ALL,ALL,ALL,0TO99
3476,417,2010,1659.26,ALL,ALL,ALL,0TO99
3478,395,2010,1633.48,ALL,ALL,ALL,0TO99
3482,404,2010,0.00,ALL,ALL,ALL,0TO99
3491,372,2010,3135.68,ALL,ALL,ALL,0TO99
3484,384,2010,4426.48,ALL,ALL,ALL,0TO99
3482,396,2010,1261.56,ALL,ALL,ALL,0TO99
3482,398,2010,1285.93,ALL,ALL,ALL,0TO99
3466,428,2010,0.00,ALL,ALL,ALL,0TO99
3493,371,2010,1849.43,ALL,ALL,ALL,0TO99
3468,409,2010,1457.19,ALL,ALL,ALL,0TO99
3471,408,2010,1556.39,ALL,ALL,ALL,0TO99
3467,410,2010,1637.26,ALL,ALL,ALL,0TO99
3472,403,2010,1310.22,ALL,ALL,ALL,0TO99
3473,399,2010,1883.74,ALL,ALL,ALL,0TO99
3470,405,2010,1656.62,ALL,ALL,ALL,0TO99
3480,406,2010,0.00,ALL,ALL,ALL,0TO99
3483,397,2010,865.88,ALL,ALL,ALL,0TO99
3469,405,2010,1656.62,ALL,ALL,ALL,0TO99
