Column,Row,Metric,Seasonal Metric,Annual Metric,Values
83,420,D24HourMean,QuarterlyMean,Mean,6.69
75,424,D24HourMean,QuarterlyMean,Mean,6.32
82,421,D24HourMean,QuarterlyMean,Mean,6.89
77,422,D24HourMean,QuarterlyMean,Mean,6.07
81,420,D24HourMean,QuarterlyMean,Mean,1.94
75,423,D24HourMean,QuarterlyMean,Mean,6.50
76,424,D24HourMean,QuarterlyMean,Mean,6.41
82,420,D24HourMean,QuarterlyMean,Mean,6.90
78,422,D24HourMean,QuarterlyMean,Mean,6.16
76,423,D24HourMean,QuarterlyMean,Mean,6.69
76,422,D24HourMean,QuarterlyMean,Mean,6.02
86,419,D24HourMean,QuarterlyMean,Mean,2.96
83,421,D24HourMean,QuarterlyMean,Mean,6.90
77,424,D24HourMean,QuarterlyMean,Mean,6.21
73,424,D24HourMean,QuarterlyMean,Mean,5.88
78,423,D24HourMean,QuarterlyMean,Mean,6.14
75,422,D24HourMean,QuarterlyMean,Mean,6.04
74,424,D24HourMean,QuarterlyMean,Mean,6.14
84,420,D24HourMean,QuarterlyMean,Mean,6.75
85,420,D24HourMean,QuarterlyMean,Mean,6.75
84,419,D24HourMean,QuarterlyMean,Mean,2.57
77,423,D24HourMean,QuarterlyMean,Mean,6.53
74,423,D24HourMean,QuarterlyMean,Mean,6.27
78,424,D24HourMean,QuarterlyMean,Mean,5.95
85,419,D24HourMean,QuarterlyMean,Mean,2.96
81,421,D24HourMean,QuarterlyMean,Mean,6.75
