Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
83,420,2010,9517.92,ALL,ALL,ALL,0TO99
75,424,2010,2808.30,ALL,ALL,ALL,0TO99
82,421,2010,9296.12,ALL,ALL,ALL,0TO99
77,422,2010,1993.31,ALL,ALL,ALL,0TO99
81,420,2010,6065.09,ALL,ALL,ALL,0TO99
75,423,2010,2773.34,ALL,ALL,ALL,0TO99
76,424,2010,2808.30,ALL,ALL,ALL,0TO99
82,420,2010,8765.15,ALL,ALL,ALL,0TO99
78,422,2010,2089.29,ALL,ALL,ALL,0TO99
76,423,2010,2807.15,ALL,ALL,ALL,0TO99
76,422,2010,2466.12,ALL,ALL,ALL,0TO99
86,419,2010,2953.38,ALL,ALL,ALL,0TO99
83,421,2010,39768.08,ALL,ALL,ALL,0TO99
77,424,2010,2808.30,ALL,ALL,ALL,0TO99
73,424,2010,1661.14,ALL,ALL,ALL,0TO99
78,423,2010,2699.74,ALL,ALL,ALL,0TO99
75,422,2010,1905.14,ALL,ALL,ALL,0TO99
74,424,2010,2652.27,ALL,ALL,ALL,0TO99
84,420,2010,9535.88,ALL,ALL,ALL,0TO99
85,420,2010,7937.45,ALL,ALL,ALL,0TO99
84,419,2010,3230.78,ALL,ALL,ALL,0TO99
77,423,2010,2807.15,ALL,ALL,ALL,0TO99
74,423,2010,1467.23,ALL,ALL,ALL,0TO99
78,424,2010,1995.78,ALL,ALL,ALL,0TO99
85,419,2010,3581.48,ALL,ALL,ALL,0TO99
81,421,2010,8202.44,ALL,ALL,ALL,0TO99
