Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2313,716,2010,444.41,ALL,ALL,ALL,0TO99
2298,722,2010,2599.70,ALL,ALL,ALL,0TO99
2253,704,2010,12872.48,ALL,ALL,ALL,0TO99
2301,738,2010,72.90,ALL,ALL,ALL,0TO99
2342,684,2010,2201.67,ALL,ALL,ALL,0TO99
2273,713,2010,557.24,ALL,ALL,ALL,0TO99
2310,715,2010,410.49,ALL,ALL,ALL,0TO99
2314,740,2010,72.82,ALL,ALL,ALL,0TO99
2258,704,2010,2318.72,ALL,ALL,ALL,0TO99
2258,705,2010,3267.79,ALL,ALL,ALL,0TO99
2299,739,2010,72.86,ALL,ALL,ALL,0TO99
2259,697,2010,8239.75,ALL,ALL,ALL,0TO99
2273,716,2010,556.43,ALL,ALL,ALL,0TO99
2276,718,2010,30.98,ALL,ALL,ALL,0TO99
2313,738,2010,72.90,ALL,ALL,ALL,0TO99
2328,728,2010,276.68,ALL,ALL,ALL,0TO99
2288,734,2010,73.06,ALL,ALL,ALL,0TO99
2338,684,2010,2231.16,ALL,ALL,ALL,0TO99
2290,732,2010,73.14,ALL,ALL,ALL,0TO99
2278,702,2010,1371.41,ALL,ALL,ALL,0TO99
2253,693,2010,8554.77,ALL,ALL,ALL,0TO99
2299,740,2010,72.82,ALL,ALL,ALL,0TO99
2243,686,2010,2311.66,ALL,ALL,ALL,0TO99
2248,694,2010,7402.17,ALL,ALL,ALL,0TO99
2244,710,2010,11552.32,ALL,ALL,ALL,0TO99
2234,718,2010,45640.23,ALL,ALL,ALL,0TO99
2244,692,2010,52110.68,ALL,ALL,ALL,0TO99
2249,696,2010,17677.23,ALL,ALL,ALL,0TO99
2247,703,2010,32067.06,ALL,ALL,ALL,0TO99
2262,716,2010,1327.01,ALL,ALL,ALL,0TO99
2275,729,2010,741.41,ALL,ALL,ALL,0TO99
2276,706,2010,1298.85,ALL,ALL,ALL,0TO99
2287,730,2010,71.34,ALL,ALL,ALL,0TO99
2280,725,2010,30.87,ALL,ALL,ALL,0TO99
2298,715,2010,2383.62,ALL,ALL,ALL,0TO99
2235,723,2010,37582.11,ALL,ALL,ALL,0TO99
2235,690,2010,1257.24,ALL,ALL,ALL,0TO99
2261,726,2010,568.75,ALL,ALL,ALL,0TO99
2243,720,2010,10856.76,ALL,ALL,ALL,0TO99
2259,712,2010,3086.10,ALL,ALL,ALL,0TO99
2306,740,2010,72.82,ALL,ALL,ALL,0TO99
2231,720,2010,11632.67,ALL,ALL,ALL,0TO99
2243,698,2010,76195.05,ALL,ALL,ALL,0TO99
2229,717,2010,13780.42,ALL,ALL,ALL,0TO99
2289,714,2010,2275.81,ALL,ALL,ALL,0TO99
2231,715,2010,16614.87,ALL,ALL,ALL,0TO99
2269,703,2010,4751.54,ALL,ALL,ALL,0TO99
2319,747,2010,115.62,ALL,ALL,ALL,0TO99
2313,717,2010,445.67,ALL,ALL,ALL,0TO99
2244,733,2010,1578.34,ALL,ALL,ALL,0TO99
2287,702,2010,1817.74,ALL,ALL,ALL,0TO99
2232,719,2010,11936.46,ALL,ALL,ALL,0TO99
2267,696,2010,3692.00,ALL,ALL,ALL,0TO99
2320,734,2010,117.05,ALL,ALL,ALL,0TO99
2247,693,2010,5698.62,ALL,ALL,ALL,0TO99
2244,728,2010,4938.50,ALL,ALL,ALL,0TO99
2234,719,2010,105652.77,ALL,ALL,ALL,0TO99
2271,726,2010,568.75,ALL,ALL,ALL,0TO99
2276,708,2010,558.55,ALL,ALL,ALL,0TO99
2298,712,2010,2137.25,ALL,ALL,ALL,0TO99
2237,710,2010,32505.71,ALL,ALL,ALL,0TO99
2285,711,2010,2354.16,ALL,ALL,ALL,0TO99
2284,726,2010,31.50,ALL,ALL,ALL,0TO99
2291,723,2010,670.51,ALL,ALL,ALL,0TO99
2270,708,2010,981.72,ALL,ALL,ALL,0TO99
2248,727,2010,4423.96,ALL,ALL,ALL,0TO99
2310,745,2010,72.61,ALL,ALL,ALL,0TO99
2233,731,2010,9430.33,ALL,ALL,ALL,0TO99
2265,702,2010,3221.07,ALL,ALL,ALL,0TO99
2295,718,2010,2604.91,ALL,ALL,ALL,0TO99
2303,715,2010,2256.14,ALL,ALL,ALL,0TO99
2245,687,2010,3305.62,ALL,ALL,ALL,0TO99
2245,714,2010,37842.14,ALL,ALL,ALL,0TO99
2271,719,2010,30.96,ALL,ALL,ALL,0TO99
2310,717,2010,410.17,ALL,ALL,ALL,0TO99
2312,735,2010,73.02,ALL,ALL,ALL,0TO99
2275,726,2010,30.85,ALL,ALL,ALL,0TO99
2254,733,2010,566.63,ALL,ALL,ALL,0TO99
2251,726,2010,1471.24,ALL,ALL,ALL,0TO99
2295,719,2010,2603.66,ALL,ALL,ALL,0TO99
2302,709,2010,2140.30,ALL,ALL,ALL,0TO99
2249,722,2010,1021.86,ALL,ALL,ALL,0TO99
2276,714,2010,556.97,ALL,ALL,ALL,0TO99
2271,704,2010,3940.70,ALL,ALL,ALL,0TO99
2231,722,2010,12166.35,ALL,ALL,ALL,0TO99
2282,712,2010,2353.04,ALL,ALL,ALL,0TO99
2338,685,2010,2180.29,ALL,ALL,ALL,0TO99
2262,694,2010,3060.83,ALL,ALL,ALL,0TO99
2267,716,2010,287.07,ALL,ALL,ALL,0TO99
2313,731,2010,114.62,ALL,ALL,ALL,0TO99
2302,745,2010,171.05,ALL,ALL,ALL,0TO99
2318,716,2010,445.89,ALL,ALL,ALL,0TO99
2239,730,2010,11897.04,ALL,ALL,ALL,0TO99
2249,728,2010,2180.64,ALL,ALL,ALL,0TO99
2251,706,2010,11304.11,ALL,ALL,ALL,0TO99
2313,740,2010,72.82,ALL,ALL,ALL,0TO99
2289,731,2010,73.18,ALL,ALL,ALL,0TO99
2294,724,2010,1500.26,ALL,ALL,ALL,0TO99
2313,728,2010,117.42,ALL,ALL,ALL,0TO99
2316,730,2010,117.30,ALL,ALL,ALL,0TO99
2309,716,2010,410.30,ALL,ALL,ALL,0TO99
2238,692,2010,16305.07,ALL,ALL,ALL,0TO99
2262,727,2010,568.45,ALL,ALL,ALL,0TO99
2253,692,2010,4296.32,ALL,ALL,ALL,0TO99
2262,723,2010,1473.41,ALL,ALL,ALL,0TO99
2315,731,2010,117.24,ALL,ALL,ALL,0TO99
2331,726,2010,249.52,ALL,ALL,ALL,0TO99
2238,728,2010,29737.22,ALL,ALL,ALL,0TO99
2236,716,2010,72256.18,ALL,ALL,ALL,0TO99
2270,697,2010,3690.41,ALL,ALL,ALL,0TO99
2243,723,2010,3027.65,ALL,ALL,ALL,0TO99
2271,723,2010,91.29,ALL,ALL,ALL,0TO99
2239,702,2010,40533.57,ALL,ALL,ALL,0TO99
2293,707,2010,7262.25,ALL,ALL,ALL,0TO99
2277,721,2010,30.93,ALL,ALL,ALL,0TO99
2284,717,2010,2127.10,ALL,ALL,ALL,0TO99
2246,689,2010,5707.98,ALL,ALL,ALL,0TO99
2229,722,2010,3913.66,ALL,ALL,ALL,0TO99
2308,741,2010,72.78,ALL,ALL,ALL,0TO99
2314,730,2010,117.30,ALL,ALL,ALL,0TO99
2319,726,2010,117.55,ALL,ALL,ALL,0TO99
2317,724,2010,117.67,ALL,ALL,ALL,0TO99
2320,741,2010,116.59,ALL,ALL,ALL,0TO99
2265,716,2010,280.28,ALL,ALL,ALL,0TO99
2242,728,2010,2570.08,ALL,ALL,ALL,0TO99
2249,729,2010,4660.60,ALL,ALL,ALL,0TO99
2251,697,2010,21144.28,ALL,ALL,ALL,0TO99
2257,710,2010,3493.76,ALL,ALL,ALL,0TO99
2259,729,2010,567.86,ALL,ALL,ALL,0TO99
2236,701,2010,21996.25,ALL,ALL,ALL,0TO99
2298,717,2010,2606.21,ALL,ALL,ALL,0TO99
2318,730,2010,117.30,ALL,ALL,ALL,0TO99
2236,725,2010,7194.63,ALL,ALL,ALL,0TO99
2313,723,2010,117.73,ALL,ALL,ALL,0TO99
2263,697,2010,2962.43,ALL,ALL,ALL,0TO99
2230,720,2010,10887.30,ALL,ALL,ALL,0TO99
2253,724,2010,1472.79,ALL,ALL,ALL,0TO99
2244,702,2010,47579.14,ALL,ALL,ALL,0TO99
2243,727,2010,4761.32,ALL,ALL,ALL,0TO99
2244,732,2010,1810.77,ALL,ALL,ALL,0TO99
2268,712,2010,557.50,ALL,ALL,ALL,0TO99
2288,720,2010,2602.30,ALL,ALL,ALL,0TO99
2321,730,2010,117.30,ALL,ALL,ALL,0TO99
2248,711,2010,10274.03,ALL,ALL,ALL,0TO99
2270,706,2010,4802.79,ALL,ALL,ALL,0TO99
2273,709,2010,558.30,ALL,ALL,ALL,0TO99
2258,701,2010,11116.43,ALL,ALL,ALL,0TO99
2249,687,2010,42731.83,ALL,ALL,ALL,0TO99
2273,698,2010,1451.52,ALL,ALL,ALL,0TO99
2308,718,2010,410.08,ALL,ALL,ALL,0TO99
2310,714,2010,410.70,ALL,ALL,ALL,0TO99
2241,692,2010,75473.16,ALL,ALL,ALL,0TO99
2307,743,2010,72.69,ALL,ALL,ALL,0TO99
2244,715,2010,23398.67,ALL,ALL,ALL,0TO99
2235,698,2010,25006.17,ALL,ALL,ALL,0TO99
2243,732,2010,1810.77,ALL,ALL,ALL,0TO99
2297,712,2010,2137.25,ALL,ALL,ALL,0TO99
2249,689,2010,12045.75,ALL,ALL,ALL,0TO99
2322,732,2010,117.17,ALL,ALL,ALL,0TO99
2307,716,2010,410.30,ALL,ALL,ALL,0TO99
2287,742,2010,784.99,ALL,ALL,ALL,0TO99
2269,711,2010,557.77,ALL,ALL,ALL,0TO99
2291,740,2010,72.82,ALL,ALL,ALL,0TO99
2291,735,2010,73.02,ALL,ALL,ALL,0TO99
2290,705,2010,7268.81,ALL,ALL,ALL,0TO99
2307,715,2010,410.49,ALL,ALL,ALL,0TO99
2247,698,2010,19854.58,ALL,ALL,ALL,0TO99
2296,737,2010,72.94,ALL,ALL,ALL,0TO99
2245,726,2010,18234.08,ALL,ALL,ALL,0TO99
2316,737,2010,116.85,ALL,ALL,ALL,0TO99
2260,724,2010,1472.79,ALL,ALL,ALL,0TO99
2255,703,2010,9198.39,ALL,ALL,ALL,0TO99
2257,728,2010,568.15,ALL,ALL,ALL,0TO99
2262,700,2010,2885.72,ALL,ALL,ALL,0TO99
2297,726,2010,73.38,ALL,ALL,ALL,0TO99
2232,709,2010,24847.24,ALL,ALL,ALL,0TO99
2239,732,2010,4385.99,ALL,ALL,ALL,0TO99
2288,738,2010,42.43,ALL,ALL,ALL,0TO99
2322,731,2010,117.24,ALL,ALL,ALL,0TO99
2276,732,2010,798.57,ALL,ALL,ALL,0TO99
2271,702,2010,4728.46,ALL,ALL,ALL,0TO99
2243,697,2010,60766.39,ALL,ALL,ALL,0TO99
2257,706,2010,10155.04,ALL,ALL,ALL,0TO99
2267,695,2010,3693.52,ALL,ALL,ALL,0TO99
2319,719,2010,117.97,ALL,ALL,ALL,0TO99
2305,710,2010,1935.10,ALL,ALL,ALL,0TO99
2306,718,2010,409.89,ALL,ALL,ALL,0TO99
2241,694,2010,123748.63,ALL,ALL,ALL,0TO99
2246,712,2010,10970.99,ALL,ALL,ALL,0TO99
2243,718,2010,20946.48,ALL,ALL,ALL,0TO99
2267,718,2010,36.05,ALL,ALL,ALL,0TO99
2305,734,2010,73.06,ALL,ALL,ALL,0TO99
2260,695,2010,6240.49,ALL,ALL,ALL,0TO99
2283,730,2010,30.79,ALL,ALL,ALL,0TO99
2290,718,2010,2604.91,ALL,ALL,ALL,0TO99
2298,735,2010,73.02,ALL,ALL,ALL,0TO99
2301,735,2010,73.02,ALL,ALL,ALL,0TO99
2319,718,2010,275.36,ALL,ALL,ALL,0TO99
2264,718,2010,812.14,ALL,ALL,ALL,0TO99
2258,731,2010,567.25,ALL,ALL,ALL,0TO99
2295,720,2010,2602.30,ALL,ALL,ALL,0TO99
2293,718,2010,2604.91,ALL,ALL,ALL,0TO99
2278,715,2010,658.50,ALL,ALL,ALL,0TO99
2273,711,2010,557.77,ALL,ALL,ALL,0TO99
2231,711,2010,16070.74,ALL,ALL,ALL,0TO99
2270,726,2010,568.75,ALL,ALL,ALL,0TO99
2229,711,2010,9157.86,ALL,ALL,ALL,0TO99
2234,697,2010,11186.93,ALL,ALL,ALL,0TO99
2260,714,2010,1328.31,ALL,ALL,ALL,0TO99
2305,732,2010,73.14,ALL,ALL,ALL,0TO99
2322,741,2010,84.97,ALL,ALL,ALL,0TO99
2282,739,2010,795.49,ALL,ALL,ALL,0TO99
2305,746,2010,361.89,ALL,ALL,ALL,0TO99
2302,740,2010,72.82,ALL,ALL,ALL,0TO99
2284,727,2010,30.84,ALL,ALL,ALL,0TO99
2296,725,2010,73.41,ALL,ALL,ALL,0TO99
