Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1966,273,D24HourMean,QuarterlyMean,Mean,13.66
1967,271,D24HourMean,QuarterlyMean,Mean,12.57
1967,272,D24HourMean,QuarterlyMean,Mean,11.99
1967,273,D24HourMean,QuarterlyMean,Mean,11.53
1967,274,D24HourMean,QuarterlyMean,Mean,12.21
1968,270,D24HourMean,QuarterlyMean,Mean,12.52
1968,271,D24HourMean,QuarterlyMean,Mean,12.50
1968,272,D24HourMean,QuarterlyMean,Mean,11.98
1968,273,D24HourMean,QuarterlyMean,Mean,10.37
1968,274,D24HourMean,QuarterlyMean,Mean,10.72
1969,268,D24HourMean,QuarterlyMean,Mean,12.17
1969,269,D24HourMean,QuarterlyMean,Mean,12.77
1969,270,D24HourMean,QuarterlyMean,Mean,9.63
1969,271,D24HourMean,QuarterlyMean,Mean,9.01
1969,272,D24HourMean,QuarterlyMean,Mean,8.23
1969,273,D24HourMean,QuarterlyMean,Mean,7.37
1969,274,D24HourMean,QuarterlyMean,Mean,10.09
1969,275,D24HourMean,QuarterlyMean,Mean,9.45
1969,276,D24HourMean,QuarterlyMean,Mean,9.24
1969,277,D24HourMean,QuarterlyMean,Mean,9.07
1970,266,D24HourMean,QuarterlyMean,Mean,12.49
1970,267,D24HourMean,QuarterlyMean,Mean,12.36
1970,268,D24HourMean,QuarterlyMean,Mean,12.39
1970,269,D24HourMean,QuarterlyMean,Mean,11.92
1970,270,D24HourMean,QuarterlyMean,Mean,9.46
1970,271,D24HourMean,QuarterlyMean,Mean,8.75
1970,272,D24HourMean,QuarterlyMean,Mean,7.93
1970,273,D24HourMean,QuarterlyMean,Mean,6.99
1970,274,D24HourMean,QuarterlyMean,Mean,9.35
1970,275,D24HourMean,QuarterlyMean,Mean,8.46
1970,276,D24HourMean,QuarterlyMean,Mean,8.15
1970,277,D24HourMean,QuarterlyMean,Mean,7.73
1970,278,D24HourMean,QuarterlyMean,Mean,7.45
1971,263,D24HourMean,QuarterlyMean,Mean,12.69
1971,264,D24HourMean,QuarterlyMean,Mean,11.96
1971,265,D24HourMean,QuarterlyMean,Mean,11.60
1971,266,D24HourMean,QuarterlyMean,Mean,10.12
1971,267,D24HourMean,QuarterlyMean,Mean,10.15
1971,268,D24HourMean,QuarterlyMean,Mean,15.13
1971,269,D24HourMean,QuarterlyMean,Mean,14.54
1971,270,D24HourMean,QuarterlyMean,Mean,11.98
1971,271,D24HourMean,QuarterlyMean,Mean,11.74
1971,272,D24HourMean,QuarterlyMean,Mean,10.82
1971,273,D24HourMean,QuarterlyMean,Mean,9.49
1971,274,D24HourMean,QuarterlyMean,Mean,8.48
1971,275,D24HourMean,QuarterlyMean,Mean,7.64
1971,276,D24HourMean,QuarterlyMean,Mean,7.22
1971,277,D24HourMean,QuarterlyMean,Mean,7.05
1971,278,D24HourMean,QuarterlyMean,Mean,6.43
1971,279,D24HourMean,QuarterlyMean,Mean,6.90
1972,260,D24HourMean,QuarterlyMean,Mean,12.29
1972,261,D24HourMean,QuarterlyMean,Mean,12.34
1972,262,D24HourMean,QuarterlyMean,Mean,12.26
1972,263,D24HourMean,QuarterlyMean,Mean,12.16
1972,264,D24HourMean,QuarterlyMean,Mean,11.76
1972,265,D24HourMean,QuarterlyMean,Mean,11.76
1972,266,D24HourMean,QuarterlyMean,Mean,9.86
1972,267,D24HourMean,QuarterlyMean,Mean,9.88
1972,268,D24HourMean,QuarterlyMean,Mean,15.08
1972,269,D24HourMean,QuarterlyMean,Mean,13.24
1972,270,D24HourMean,QuarterlyMean,Mean,11.47
1972,271,D24HourMean,QuarterlyMean,Mean,10.74
1972,272,D24HourMean,QuarterlyMean,Mean,10.23
1972,273,D24HourMean,QuarterlyMean,Mean,9.25
1972,274,D24HourMean,QuarterlyMean,Mean,8.31
1972,275,D24HourMean,QuarterlyMean,Mean,7.43
1972,276,D24HourMean,QuarterlyMean,Mean,6.94
1972,277,D24HourMean,QuarterlyMean,Mean,6.62
1972,278,D24HourMean,QuarterlyMean,Mean,6.32
1973,257,D24HourMean,QuarterlyMean,Mean,4.27
1973,258,D24HourMean,QuarterlyMean,Mean,11.71
1973,259,D24HourMean,QuarterlyMean,Mean,12.33
1973,260,D24HourMean,QuarterlyMean,Mean,11.84
1973,261,D24HourMean,QuarterlyMean,Mean,11.44
1973,262,D24HourMean,QuarterlyMean,Mean,9.31
1973,263,D24HourMean,QuarterlyMean,Mean,9.31
1973,264,D24HourMean,QuarterlyMean,Mean,9.33
1973,265,D24HourMean,QuarterlyMean,Mean,9.37
1973,266,D24HourMean,QuarterlyMean,Mean,9.40
1973,267,D24HourMean,QuarterlyMean,Mean,9.39
1973,268,D24HourMean,QuarterlyMean,Mean,9.30
1973,269,D24HourMean,QuarterlyMean,Mean,8.94
1973,270,D24HourMean,QuarterlyMean,Mean,10.39
1973,271,D24HourMean,QuarterlyMean,Mean,10.23
1973,272,D24HourMean,QuarterlyMean,Mean,9.32
1973,273,D24HourMean,QuarterlyMean,Mean,8.52
1973,274,D24HourMean,QuarterlyMean,Mean,7.85
1973,275,D24HourMean,QuarterlyMean,Mean,7.42
1973,276,D24HourMean,QuarterlyMean,Mean,6.96
1973,277,D24HourMean,QuarterlyMean,Mean,6.43
1974,255,D24HourMean,QuarterlyMean,Mean,11.78
1974,256,D24HourMean,QuarterlyMean,Mean,10.81
1974,257,D24HourMean,QuarterlyMean,Mean,10.22
1974,258,D24HourMean,QuarterlyMean,Mean,10.44
1974,259,D24HourMean,QuarterlyMean,Mean,11.77
1974,260,D24HourMean,QuarterlyMean,Mean,10.81
1974,261,D24HourMean,QuarterlyMean,Mean,11.06
1974,262,D24HourMean,QuarterlyMean,Mean,8.66
1974,263,D24HourMean,QuarterlyMean,Mean,8.66
1974,264,D24HourMean,QuarterlyMean,Mean,8.73
1974,265,D24HourMean,QuarterlyMean,Mean,8.67
1974,266,D24HourMean,QuarterlyMean,Mean,8.69
1974,267,D24HourMean,QuarterlyMean,Mean,8.66
1974,268,D24HourMean,QuarterlyMean,Mean,8.54
1974,269,D24HourMean,QuarterlyMean,Mean,8.28
1974,270,D24HourMean,QuarterlyMean,Mean,9.68
1974,271,D24HourMean,QuarterlyMean,Mean,9.66
1974,272,D24HourMean,QuarterlyMean,Mean,9.35
1974,273,D24HourMean,QuarterlyMean,Mean,8.31
1974,274,D24HourMean,QuarterlyMean,Mean,7.73
1974,276,D24HourMean,QuarterlyMean,Mean,6.92
1975,254,D24HourMean,QuarterlyMean,Mean,9.43
1975,255,D24HourMean,QuarterlyMean,Mean,10.64
1975,256,D24HourMean,QuarterlyMean,Mean,9.50
1975,257,D24HourMean,QuarterlyMean,Mean,8.20
1975,258,D24HourMean,QuarterlyMean,Mean,8.53
1975,259,D24HourMean,QuarterlyMean,Mean,8.77
1975,260,D24HourMean,QuarterlyMean,Mean,9.56
1975,261,D24HourMean,QuarterlyMean,Mean,9.15
1975,262,D24HourMean,QuarterlyMean,Mean,9.27
1975,263,D24HourMean,QuarterlyMean,Mean,9.27
1975,264,D24HourMean,QuarterlyMean,Mean,9.32
1975,265,D24HourMean,QuarterlyMean,Mean,9.32
1975,266,D24HourMean,QuarterlyMean,Mean,9.89
1975,267,D24HourMean,QuarterlyMean,Mean,9.74
1975,268,D24HourMean,QuarterlyMean,Mean,9.44
1975,269,D24HourMean,QuarterlyMean,Mean,9.72
1975,270,D24HourMean,QuarterlyMean,Mean,9.37
1975,271,D24HourMean,QuarterlyMean,Mean,9.66
1975,272,D24HourMean,QuarterlyMean,Mean,9.12
1976,252,D24HourMean,QuarterlyMean,Mean,9.71
1976,253,D24HourMean,QuarterlyMean,Mean,10.08
1976,254,D24HourMean,QuarterlyMean,Mean,9.75
1976,255,D24HourMean,QuarterlyMean,Mean,8.96
1976,256,D24HourMean,QuarterlyMean,Mean,9.44
1976,257,D24HourMean,QuarterlyMean,Mean,9.56
1976,258,D24HourMean,QuarterlyMean,Mean,7.53
1976,259,D24HourMean,QuarterlyMean,Mean,7.85
1976,260,D24HourMean,QuarterlyMean,Mean,8.34
1976,261,D24HourMean,QuarterlyMean,Mean,8.65
1976,262,D24HourMean,QuarterlyMean,Mean,8.54
1976,263,D24HourMean,QuarterlyMean,Mean,8.44
1976,264,D24HourMean,QuarterlyMean,Mean,9.28
1976,265,D24HourMean,QuarterlyMean,Mean,8.56
1976,266,D24HourMean,QuarterlyMean,Mean,8.71
1976,267,D24HourMean,QuarterlyMean,Mean,8.77
1976,268,D24HourMean,QuarterlyMean,Mean,9.11
1976,269,D24HourMean,QuarterlyMean,Mean,8.95
1976,270,D24HourMean,QuarterlyMean,Mean,8.98
1976,271,D24HourMean,QuarterlyMean,Mean,9.05
1976,272,D24HourMean,QuarterlyMean,Mean,8.79
1977,250,D24HourMean,QuarterlyMean,Mean,10.37
1977,251,D24HourMean,QuarterlyMean,Mean,10.96
1977,252,D24HourMean,QuarterlyMean,Mean,9.96
1977,253,D24HourMean,QuarterlyMean,Mean,9.61
1977,254,D24HourMean,QuarterlyMean,Mean,9.11
1977,255,D24HourMean,QuarterlyMean,Mean,7.90
1977,256,D24HourMean,QuarterlyMean,Mean,8.16
1977,257,D24HourMean,QuarterlyMean,Mean,7.16
1977,258,D24HourMean,QuarterlyMean,Mean,6.83
1977,259,D24HourMean,QuarterlyMean,Mean,7.72
1977,260,D24HourMean,QuarterlyMean,Mean,8.35
1977,261,D24HourMean,QuarterlyMean,Mean,8.02
1977,262,D24HourMean,QuarterlyMean,Mean,8.02
1977,263,D24HourMean,QuarterlyMean,Mean,7.75
1977,264,D24HourMean,QuarterlyMean,Mean,8.29
1977,265,D24HourMean,QuarterlyMean,Mean,8.22
1977,266,D24HourMean,QuarterlyMean,Mean,8.00
1977,267,D24HourMean,QuarterlyMean,Mean,7.96
1977,268,D24HourMean,QuarterlyMean,Mean,8.22
1977,269,D24HourMean,QuarterlyMean,Mean,8.55
1977,270,D24HourMean,QuarterlyMean,Mean,8.71
1977,271,D24HourMean,QuarterlyMean,Mean,8.29
1978,249,D24HourMean,QuarterlyMean,Mean,10.16
1978,250,D24HourMean,QuarterlyMean,Mean,11.11
1978,251,D24HourMean,QuarterlyMean,Mean,10.35
1978,252,D24HourMean,QuarterlyMean,Mean,9.72
1978,253,D24HourMean,QuarterlyMean,Mean,8.84
1978,254,D24HourMean,QuarterlyMean,Mean,8.56
1978,255,D24HourMean,QuarterlyMean,Mean,7.56
1978,256,D24HourMean,QuarterlyMean,Mean,7.23
1978,257,D24HourMean,QuarterlyMean,Mean,6.29
1978,258,D24HourMean,QuarterlyMean,Mean,6.04
1978,259,D24HourMean,QuarterlyMean,Mean,6.73
1978,260,D24HourMean,QuarterlyMean,Mean,8.01
1978,261,D24HourMean,QuarterlyMean,Mean,7.79
1978,262,D24HourMean,QuarterlyMean,Mean,7.58
1978,263,D24HourMean,QuarterlyMean,Mean,7.42
1978,264,D24HourMean,QuarterlyMean,Mean,7.52
1978,265,D24HourMean,QuarterlyMean,Mean,7.77
1978,266,D24HourMean,QuarterlyMean,Mean,7.38
1978,267,D24HourMean,QuarterlyMean,Mean,6.98
1978,268,D24HourMean,QuarterlyMean,Mean,6.64
1978,269,D24HourMean,QuarterlyMean,Mean,7.42
1978,270,D24HourMean,QuarterlyMean,Mean,7.87
1978,271,D24HourMean,QuarterlyMean,Mean,7.56
1978,272,D24HourMean,QuarterlyMean,Mean,8.15
1979,247,D24HourMean,QuarterlyMean,Mean,10.82
1979,248,D24HourMean,QuarterlyMean,Mean,11.37
1979,249,D24HourMean,QuarterlyMean,Mean,10.50
1979,250,D24HourMean,QuarterlyMean,Mean,10.06
1979,251,D24HourMean,QuarterlyMean,Mean,9.99
1979,252,D24HourMean,QuarterlyMean,Mean,9.29
1979,253,D24HourMean,QuarterlyMean,Mean,8.92
1979,254,D24HourMean,QuarterlyMean,Mean,8.33
1979,255,D24HourMean,QuarterlyMean,Mean,6.68
1979,256,D24HourMean,QuarterlyMean,Mean,6.11
1979,257,D24HourMean,QuarterlyMean,Mean,5.66
1979,258,D24HourMean,QuarterlyMean,Mean,5.46
1979,259,D24HourMean,QuarterlyMean,Mean,6.22
1979,260,D24HourMean,QuarterlyMean,Mean,7.56
1979,261,D24HourMean,QuarterlyMean,Mean,7.01
1979,262,D24HourMean,QuarterlyMean,Mean,6.89
1979,263,D24HourMean,QuarterlyMean,Mean,6.99
1979,264,D24HourMean,QuarterlyMean,Mean,6.92
1979,265,D24HourMean,QuarterlyMean,Mean,7.24
1979,266,D24HourMean,QuarterlyMean,Mean,8.67
1979,267,D24HourMean,QuarterlyMean,Mean,9.03
1979,268,D24HourMean,QuarterlyMean,Mean,9.43
1979,269,D24HourMean,QuarterlyMean,Mean,9.05
1979,270,D24HourMean,QuarterlyMean,Mean,7.68
1979,271,D24HourMean,QuarterlyMean,Mean,6.98
1980,230,D24HourMean,QuarterlyMean,Mean,11.49
1980,231,D24HourMean,QuarterlyMean,Mean,11.88
1980,246,D24HourMean,QuarterlyMean,Mean,11.72
1980,247,D24HourMean,QuarterlyMean,Mean,11.42
1980,248,D24HourMean,QuarterlyMean,Mean,11.08
1980,249,D24HourMean,QuarterlyMean,Mean,10.49
1980,250,D24HourMean,QuarterlyMean,Mean,9.91
1980,251,D24HourMean,QuarterlyMean,Mean,8.94
