Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1966,273,2010,53.98,ALL,ALL,ALL,0TO99
1967,271,2010,21.12,ALL,ALL,ALL,0TO99
1967,272,2010,25.21,ALL,ALL,ALL,0TO99
1967,273,2010,25.25,ALL,ALL,ALL,0TO99
1967,274,2010,25.45,ALL,ALL,ALL,0TO99
1968,270,2010,22.88,ALL,ALL,ALL,0TO99
1968,271,2010,25.18,ALL,ALL,ALL,0TO99
1968,272,2010,25.23,ALL,ALL,ALL,0TO99
1968,273,2010,25.25,ALL,ALL,ALL,0TO99
1968,274,2010,20.47,ALL,ALL,ALL,0TO99
1969,268,2010,17.14,ALL,ALL,ALL,0TO99
1969,269,2010,24.05,ALL,ALL,ALL,0TO99
1969,270,2010,24.69,ALL,ALL,ALL,0TO99
1969,271,2010,21.20,ALL,ALL,ALL,0TO99
1969,272,2010,20.94,ALL,ALL,ALL,0TO99
1969,273,2010,20.23,ALL,ALL,ALL,0TO99
1969,274,2010,6.85,ALL,ALL,ALL,0TO99
1969,275,2010,2.78,ALL,ALL,ALL,0TO99
1969,276,2010,3.44,ALL,ALL,ALL,0TO99
1969,277,2010,11.03,ALL,ALL,ALL,0TO99
1970,266,2010,5.22,ALL,ALL,ALL,0TO99
1970,267,2010,1407.40,ALL,ALL,ALL,0TO99
1970,268,2010,17.48,ALL,ALL,ALL,0TO99
1970,269,2010,24.55,ALL,ALL,ALL,0TO99
1970,270,2010,10.67,ALL,ALL,ALL,0TO99
1970,271,2010,3.83,ALL,ALL,ALL,0TO99
1970,272,2010,3.65,ALL,ALL,ALL,0TO99
1970,273,2010,3.53,ALL,ALL,ALL,0TO99
1970,274,2010,2.80,ALL,ALL,ALL,0TO99
1970,275,2010,654.76,ALL,ALL,ALL,0TO99
1970,276,2010,2.78,ALL,ALL,ALL,0TO99
1970,277,2010,5.10,ALL,ALL,ALL,0TO99
1970,278,2010,91.09,ALL,ALL,ALL,0TO99
1971,263,2010,1254.85,ALL,ALL,ALL,0TO99
1971,264,2010,15.72,ALL,ALL,ALL,0TO99
1971,265,2010,6.19,ALL,ALL,ALL,0TO99
1971,266,2010,2.97,ALL,ALL,ALL,0TO99
1971,267,2010,2.97,ALL,ALL,ALL,0TO99
1971,268,2010,28.30,ALL,ALL,ALL,0TO99
1971,269,2010,170.22,ALL,ALL,ALL,0TO99
1971,270,2010,2.76,ALL,ALL,ALL,0TO99
1971,271,2010,2.76,ALL,ALL,ALL,0TO99
1971,272,2010,2.77,ALL,ALL,ALL,0TO99
1971,273,2010,2.77,ALL,ALL,ALL,0TO99
1971,274,2010,2.77,ALL,ALL,ALL,0TO99
1971,275,2010,2.77,ALL,ALL,ALL,0TO99
1971,276,2010,2.78,ALL,ALL,ALL,0TO99
1971,277,2010,2.78,ALL,ALL,ALL,0TO99
1971,278,2010,2.78,ALL,ALL,ALL,0TO99
1971,279,2010,15.69,ALL,ALL,ALL,0TO99
1972,260,2010,2.40,ALL,ALL,ALL,0TO99
1972,261,2010,3.72,ALL,ALL,ALL,0TO99
1972,262,2010,13.35,ALL,ALL,ALL,0TO99
1972,263,2010,17.10,ALL,ALL,ALL,0TO99
1972,264,2010,17.11,ALL,ALL,ALL,0TO99
1972,265,2010,13.67,ALL,ALL,ALL,0TO99
1972,266,2010,4.12,ALL,ALL,ALL,0TO99
1972,267,2010,8.07,ALL,ALL,ALL,0TO99
1972,268,2010,44.66,ALL,ALL,ALL,0TO99
1972,269,2010,247.72,ALL,ALL,ALL,0TO99
1972,270,2010,2.76,ALL,ALL,ALL,0TO99
1972,271,2010,2.76,ALL,ALL,ALL,0TO99
1972,272,2010,2.77,ALL,ALL,ALL,0TO99
1972,273,2010,2.77,ALL,ALL,ALL,0TO99
1972,274,2010,2.77,ALL,ALL,ALL,0TO99
1972,275,2010,2.77,ALL,ALL,ALL,0TO99
1972,276,2010,2.78,ALL,ALL,ALL,0TO99
1972,277,2010,5.02,ALL,ALL,ALL,0TO99
1972,278,2010,10.44,ALL,ALL,ALL,0TO99
1973,257,2010,217.23,ALL,ALL,ALL,0TO99
1973,258,2010,378.86,ALL,ALL,ALL,0TO99
1973,259,2010,21.48,ALL,ALL,ALL,0TO99
1973,260,2010,3.83,ALL,ALL,ALL,0TO99
1973,261,2010,3.84,ALL,ALL,ALL,0TO99
1973,262,2010,8.47,ALL,ALL,ALL,0TO99
1973,263,2010,17.07,ALL,ALL,ALL,0TO99
1973,264,2010,17.11,ALL,ALL,ALL,0TO99
1973,265,2010,16.47,ALL,ALL,ALL,0TO99
1973,266,2010,6.15,ALL,ALL,ALL,0TO99
1973,267,2010,35.86,ALL,ALL,ALL,0TO99
1973,268,2010,57.96,ALL,ALL,ALL,0TO99
1973,269,2010,42.49,ALL,ALL,ALL,0TO99
1973,270,2010,13.45,ALL,ALL,ALL,0TO99
1973,271,2010,291.97,ALL,ALL,ALL,0TO99
1973,272,2010,74.76,ALL,ALL,ALL,0TO99
1973,273,2010,2.77,ALL,ALL,ALL,0TO99
1973,274,2010,2.77,ALL,ALL,ALL,0TO99
1973,275,2010,2.77,ALL,ALL,ALL,0TO99
1973,276,2010,2.78,ALL,ALL,ALL,0TO99
1973,277,2010,19.64,ALL,ALL,ALL,0TO99
1974,255,2010,1.45,ALL,ALL,ALL,0TO99
1974,256,2010,111.71,ALL,ALL,ALL,0TO99
1974,257,2010,69.83,ALL,ALL,ALL,0TO99
1974,258,2010,50.20,ALL,ALL,ALL,0TO99
1974,259,2010,15.78,ALL,ALL,ALL,0TO99
1974,260,2010,3.87,ALL,ALL,ALL,0TO99
1974,261,2010,5.04,ALL,ALL,ALL,0TO99
1974,262,2010,7.05,ALL,ALL,ALL,0TO99
1974,263,2010,15.07,ALL,ALL,ALL,0TO99
1974,264,2010,17.03,ALL,ALL,ALL,0TO99
1974,265,2010,21.30,ALL,ALL,ALL,0TO99
1974,266,2010,38.99,ALL,ALL,ALL,0TO99
1974,267,2010,56.99,ALL,ALL,ALL,0TO99
1974,268,2010,58.25,ALL,ALL,ALL,0TO99
1974,269,2010,58.31,ALL,ALL,ALL,0TO99
1974,270,2010,57.22,ALL,ALL,ALL,0TO99
1974,271,2010,43.14,ALL,ALL,ALL,0TO99
1974,272,2010,13.48,ALL,ALL,ALL,0TO99
1974,273,2010,2.97,ALL,ALL,ALL,0TO99
1974,274,2010,10.63,ALL,ALL,ALL,0TO99
1974,276,2010,7.83,ALL,ALL,ALL,0TO99
1975,254,2010,2.11,ALL,ALL,ALL,0TO99
1975,255,2010,3.64,ALL,ALL,ALL,0TO99
