Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2090,385,D24HourMean,QuarterlyMean,Mean,7.43
2101,371,D24HourMean,QuarterlyMean,Mean,5.62
2103,373,D24HourMean,QuarterlyMean,Mean,5.88
2097,396,D24HourMean,QuarterlyMean,Mean,6.94
2104,342,D24HourMean,QuarterlyMean,Mean,6.98
2089,388,D24HourMean,QuarterlyMean,Mean,6.71
2096,370,D24HourMean,QuarterlyMean,Mean,5.28
2117,391,D24HourMean,QuarterlyMean,Mean,6.46
2060,377,D24HourMean,QuarterlyMean,Mean,6.85
2073,376,D24HourMean,QuarterlyMean,Mean,5.91
2093,356,D24HourMean,QuarterlyMean,Mean,5.46
2119,368,D24HourMean,QuarterlyMean,Mean,5.64
2073,362,D24HourMean,QuarterlyMean,Mean,5.57
2082,380,D24HourMean,QuarterlyMean,Mean,5.75
2095,400,D24HourMean,QuarterlyMean,Mean,6.66
2101,351,D24HourMean,QuarterlyMean,Mean,5.62
2057,378,D24HourMean,QuarterlyMean,Mean,6.37
2082,386,D24HourMean,QuarterlyMean,Mean,6.04
2098,354,D24HourMean,QuarterlyMean,Mean,5.93
2103,365,D24HourMean,QuarterlyMean,Mean,5.44
2115,356,D24HourMean,QuarterlyMean,Mean,5.71
2122,350,D24HourMean,QuarterlyMean,Mean,7.64
2091,343,D24HourMean,QuarterlyMean,Mean,7.49
2093,381,D24HourMean,QuarterlyMean,Mean,6.39
2103,387,D24HourMean,QuarterlyMean,Mean,5.84
2109,353,D24HourMean,QuarterlyMean,Mean,5.95
2092,343,D24HourMean,QuarterlyMean,Mean,7.99
2123,345,D24HourMean,QuarterlyMean,Mean,5.95
2071,370,D24HourMean,QuarterlyMean,Mean,5.21
2080,364,D24HourMean,QuarterlyMean,Mean,5.03
2061,376,D24HourMean,QuarterlyMean,Mean,6.87
2075,378,D24HourMean,QuarterlyMean,Mean,6.13
2112,337,D24HourMean,QuarterlyMean,Mean,7.29
2107,354,D24HourMean,QuarterlyMean,Mean,5.53
2115,367,D24HourMean,QuarterlyMean,Mean,5.82
2084,360,D24HourMean,QuarterlyMean,Mean,5.96
2119,352,D24HourMean,QuarterlyMean,Mean,6.64
2125,367,D24HourMean,QuarterlyMean,Mean,5.70
2084,366,D24HourMean,QuarterlyMean,Mean,5.19
2124,384,D24HourMean,QuarterlyMean,Mean,6.07
2128,384,D24HourMean,QuarterlyMean,Mean,6.44
2086,386,D24HourMean,QuarterlyMean,Mean,6.25
2055,378,D24HourMean,QuarterlyMean,Mean,6.59
2081,367,D24HourMean,QuarterlyMean,Mean,5.12
2110,394,D24HourMean,QuarterlyMean,Mean,7.08
2104,373,D24HourMean,QuarterlyMean,Mean,6.25
2096,377,D24HourMean,QuarterlyMean,Mean,5.46
2102,362,D24HourMean,QuarterlyMean,Mean,5.79
2093,377,D24HourMean,QuarterlyMean,Mean,5.89
2096,373,D24HourMean,QuarterlyMean,Mean,5.28
2083,350,D24HourMean,QuarterlyMean,Mean,5.93
2098,374,D24HourMean,QuarterlyMean,Mean,5.07
