COUNTRYNAME,COUNTRYID,INCIDENCERATE
Afghanistan,AFG,0.0094612260
Aland Islands,ALA,0.0088468380
Albania,ALB,0.0070805020
Algeria,DZA,0.0039216450
American Samoa,ASM,0.0075517020
Andorra,AND,0.0089985150
Angola,AGO,0.0083571510
Anguilla,AIA,0.0081329210
Antigua and Barbuda,ATG,0.0060961040
Argentina,ARG,0.0075805740
Armenia,ARM,0.0091078960
Aruba,ABW,0.0081329210
Australia,AUS,0.0071752590
Austria,AUT,0.0092615100
Azerbaijan,AZE,0.0062750470
Bahamas,BHS,0.0050327740
Bahrain,BHR,0.0022969590
Bangladesh,BGD,0.0059323970
Barbados,BRB,0.0084543670
Belarus,BLR,0.0144528590
Belgium,BEL,0.0102762610
Belize,BLZ,0.0052812050
Benin,BEN,0.0079201840
Bermuda,BMU,0.0081329210
Bhutan,BTN,0.0058411180
Bolivia (Plurinational State of),BOL,0.0054934990
Bonaire - Saint Eustatius and Saba,BES,0.0081329210
Bosnia and Herzegovina,BIH,0.0094667870
Botswana,BWA,0.0053971450
Brazil,BRA,0.0061963320
British Virgin Islands,VGB,0.0081329210
Brunei Darussalam,BRN,0.0033520380
Bulgaria,BGR,0.0148840220
Burkina Faso,BFA,0.0121191330
Burundi,BDI,0.0118615180
Cabo Verde,CPV,0.0046212140
Cambodia,KHM,0.0060653850
Cameroon,CMR,0.0099437540
Canada,CAN,0.0079354720
Cayman Islands,CYM,0.0081329210
Central African Republic,CAF,0.0179487800
Chad,TCD,0.0125447680
Chile,CHL,0.0059113400
China,CHN,0.0061878440
China - Hong Kong Special Administrative Region,HKG,0.0070809280
China - Macao Special Administrative Region,MAC,0.0070809280
Colombia,COL,0.0049394770
Comoros,COM,0.0075474590
Congo,COG,0.0100196700
Cook Islands,COK,0.0075517020
Costa Rica,CRI,0.0041804020
Cote dIvoire,CIV,0.0114545340
Croatia,HRV,0.0118166240
Cuba,CUB,0.0081849680
Curacao,CUW,0.0081329210
Cyprus,CYP,0.0068942990
Czech Republic,CZE,0.0102770530
Democratic Peoples Republic of Korea,PRK,0.0084462210
Democratic Republic of the Congo,COD,0.0118509510
Denmark,DNK,0.0102099520
Djibouti,DJI,0.0075541240
Dominica,DMA,0.0068436170
Dominican Republic,DOM,0.0059994330
Ecuador,ECU,0.0044853730
Egypt,EGY,0.0060029970
El Salvador,SLV,0.0059695300
Equatorial Guinea,GNQ,0.0108362960
Eritrea,ERI,0.0080988480
Estonia,EST,0.0115203810
Ethiopia,ETH,0.0084961220
Faeroe Islands,FRO,0.0088468380
Falkland Islands (Malvinas),FLK,0.0076815540
Fiji,FJI,0.0074890840
Finland,FIN,0.0094535250
France,FRA,0.0090355470
French Guiana,GUF,0.0081329210
French Polynesia,PYF,0.0075517020
Gabon,GAB,0.0106157890
Gambia,GMB,0.0076023410
Georgia,GEO,0.0111805730
Germany,DEU,0.0104383680
Ghana,GHA,0.0073346360
Gibraltar,GIB,0.0088468380
Greece,GRC,0.0110630010
Greenland,GRL,0.0088468380
Grenada,GRD,0.0080066540
Guadeloupe,GLP,0.0081329210
Guam,GUM,0.0075517020
Guatemala,GTM,0.0054486340
Guernsey,GGY,0.0088468380
Guinea,GIN,0.0101905610
Guinea-Bissau,GNB,0.0114955210
Guyana,GUY,0.0074454860
Haiti,HTI,0.0267773580
Holy See,VAT,0.0088468380
Honduras,HND,0.0051411060
Hungary,HUN,0.0131915940
Iceland,ISL,0.0061171510
India,IND,0.0081120630
Indonesia,IDN,0.0065359980
Iran (Islamic Republic of),IRN,0.0047566060
Iraq,IRQ,0.0047265170
Ireland,IRL,0.0066208310
Isle of Man,IMN,0.0088468380
Israel,ISR,0.0055915250
Italy,ITA,0.0103831690
Jamaica,JAM,0.0062734020
Japan,JPN,0.0101034910
Jersey,JEY,0.0088468380
Jordan,JOR,0.0033337040
Kazakhstan,KAZ,0.0096915840
Kenya,KEN,0.0069045260
Kiribati,KIR,0.0084401240
Kuwait,KWT,0.0024484020
Kyrgyzstan,KGZ,0.0073774000
Lao Peoples Democratic Republic,LAO,0.0070870680
Latvia,LVA,0.0131420860
Lebanon,LBN,0.0045623270
Lesotho,LSO,0.0163551730
Liberia,LBR,0.0108316530
Libya,LBY,0.0040074420
Liechtenstein,LIE,0.0088468380
Lithuania,LTU,0.0117984980
Luxembourg,LUX,0.0078532750
Madagascar,MDG,0.0074294000
Malawi,MWI,0.0126750090
Malaysia,MYS,0.0047112720
Maldives,MDV,0.0028547330
Mali,MLI,0.0110694970
Malta,MLT,0.0077062940
Marshall Islands,MHL,0.0070276150
Martinique,MTQ,0.0081329210
Mauritania,MRT,0.0067973540
Mauritius,MUS,0.0072321890
Mayotte,MYT,0.0059617490
Mexico,MEX,0.0051621590
Micronesia (Federated States of),FSM,0.0073892430
Monaco,MCO,0.0088468380
Mongolia,MNG,0.0081523700
Montenegro,MNE,0.0092947780
Montserrat,MSR,0.0081329210
Morocco,MAR,0.0052786500
Mozambique,MOZ,0.0129541090
Myanmar,MMR,0.0092829800
Namibia,NAM,0.0085502230
Nauru,NRU,0.0075517020
Nepal,NPL,0.0055026880
Netherlands,NLD,0.0084796290
New Caledonia,NCL,0.0075517020
New Zealand,NZL,0.0068881660
Nicaragua,NIC,0.0044477810
Niger,NER,0.0115132500
Nigeria,NGA,0.0103368010
Niue,NIU,0.0075517020
Norfolk Island,NFK,0.0070317130
Northern Mariana Islands,MNP,0.0075517020
Norway,NOR,0.0087666840
Oman,OMN,0.0028498870
Pakistan,PAK,0.0071697570
Palau,PLW,0.0075517020
Panama,PAN,0.0047167580
Papua New Guinea,PNG,0.0094868580
Paraguay,PRY,0.0052186870
Peru,PER,0.0044631060
Philippines,PHL,0.0051283380
Pitcairn,PCN,0.0075517020
Poland,POL,0.0099393610
Portugal,PRT,0.0102735890
Puerto Rico,PRI,0.0083136220
Qatar,QAT,0.0014213360
Republic of Korea,KOR,0.0058889110
Republic of Moldova,MDA,0.0120530550
Reunion,REU,0.0087728260
Romania,ROU,0.0119387120
Russian Federation,RUS,0.0141573430
Rwanda,RWA,0.0069742720
Saint Helena,SHN,0.0092350380
Saint Kitts and Nevis,KNA,0.0081329210
Saint Lucia,LCA,0.0067506280
Saint Pierre and Miquelon,SPM,0.0088468380
Saint Vincent and the Grenadines,VCT,0.0068036580
Saint-Barth\xe9lemy,BLM,0.0081329210
Saint-Martin (French part),MAF,0.0081329210
Samoa,WSM,0.0060158270
San Marino,SMR,0.0088468380
Sao Tome and Principe,STP,0.0052715120
Saudi Arabia,SAU,0.0028632710
Senegal,SEN,0.0061359200
Serbia,SRB,0.0097605940
Seychelles,SYC,0.0060890460
Sierra Leone,SLE,0.0091200490
Singapore,SGP,0.0040159720
Sint Maarten (Dutch part),SXM,0.0081329210
Slovakia,SVK,0.0099090540
Slovenia,SVN,0.0093559430
Solomon Islands,SLB,0.0079389060
Somalia,SOM,0.0114110530
South Africa,ZAF,0.0102739850
South Sudan,SSD,0.0087728260
Spain,ESP,0.0091058520
Sri Lanka,LKA,0.0062485140
State of Palestine,PSE,0.0034973040
Sudan,SDN,0.0057954490
Suriname,SUR,0.0059345670
Svalbard and Jan Mayen Islands,SJM,0.0088468380
Swaziland,SWZ,0.0144315420
Sweden,SWE,0.0099087330
Switzerland,CHE,0.0085197350
Syrian Arab Republic,SYR,0.0030218570
Taiwan,TWN,0.0066087190
Tajikistan,TJK,0.0058233580
Thailand,THA,0.0072709990
The former Yugoslav Republic of Macedonia,MKD,0.0093304880
Timor-Leste,TLS,0.0053727640
Togo,TGO,0.0091630420
Tokelau,TKL,0.0075517020
Tonga,TON,0.0068329280
Trinidad and Tobago,TTO,0.0081095900
Tunisia,TUN,0.0048071510
Turkey,TUR,0.0049906310
Turkmenistan,TKM,0.0061267220
Turks and Caicos Islands,TCA,0.0081329210
Tuvalu,TUV,0.0075517020
Uganda,UGA,0.0083326940
Ukraine,UKR,0.0153930380
United Arab Emirates,ARE,0.0017531050
United Kingdom of Great Britain and Northern Ireland,GBR,0.0096729940
United Republic of Tanzania,TZA,0.0085384390
United States Virgin Islands,VIR,0.0081329210
United States of America,USA,0.0086917710
Uruguay,URY,0.0095527470
Uzbekistan,UZB,0.0064301660
Vanuatu,VUT,0.0073447290
Venezuela (Bolivarian Republic of),VEN,0.0050054250
Viet Nam,VNM,0.0050211830
Wallis and Futuna Islands,WLF,0.0075517020
Western Sahara,ESH,0.0038217920
Yemen,YEM,0.0060742560
Zambia,ZMB,0.0112437870
Zimbabwe,ZWE,0.0126490350
